G_ID,GDAY_DS,T_ID,VS_T_ID,HEADER_NO,TB_SC,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN
20200721HTHH0,20200721,HH,HT,0,B,32,29,2,2,3,0,0,1,0,0,0,0,2,0,2,8,1,3,,,,
20200721HTHH0,20200721,HT,HH,0,T,50,41,9,10,16,2,0,2,0,1,0,0,8,0,0,7,2,0,,,,
20200721LGKT0,20200721,LG,KT,0,T,44,38,9,9,13,4,0,2,0,1,0,0,6,0,0,7,0,0,,,,
20200721LGKT0,20200721,KT,LG,0,B,39,34,10,10,12,0,0,3,1,0,1,0,4,0,0,7,0,1,,,,
20200721LTSK0,20200721,LT,SK,0,T,40,35,7,7,10,1,0,1,1,0,0,0,5,0,0,6,1,0,,,,
20200721LTSK0,20200721,SK,LT,0,B,40,34,8,8,13,1,0,3,2,0,0,1,4,0,0,4,0,0,,,,
20200721SSNC0,20200721,SS,NC,0,T,41,36,5,5,9,0,0,1,2,0,1,0,4,0,0,7,0,0,,,,
20200721SSNC0,20200721,NC,SS,0,B,42,38,6,6,13,2,0,3,0,2,0,0,1,0,1,7,0,0,,,,
20200721WOOB0,20200721,WO,OB,0,T,36,35,1,1,9,1,0,0,0,1,0,0,1,0,0,6,0,0,,,,
20200721WOOB0,20200721,OB,WO,0,B,32,31,6,6,7,2,1,1,2,0,0,0,1,0,0,9,0,0,,,,
20200722HTHH0,20200722,HH,HT,0,B,35,29,1,1,4,1,0,0,0,0,1,0,5,0,1,10,0,1,,,,
20200722HTHH0,20200722,HT,HH,0,T,37,30,2,2,5,0,1,0,0,0,2,0,3,0,0,14,0,0,,,,
20200722LGKT0,20200722,LG,KT,0,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
20200722LGKT0,20200722,KT,LG,0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
