G_ID,GDAY_DS,T_ID,VS_T_ID,HEADER_NO,TB_SC,CG_CK,WLS,HOLD,INN2,BF,PA,AB,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,WP,BK,ERR,R,ER,P_WHIP_RT,P2_WHIP_RT,CB_WHIP_RT
20200721HTHH0,20200721,HH,HT,0,B,0,L,0,27,222,32,29,3,0,0,1,0,0,0,0,2,0,2,8,1,2,0,3,10,9,,,
20200721HTHH0,20200721,HT,HH,0,T,0,W,0,27,133,50,41,16,2,0,2,0,1,0,0,8,0,0,7,2,0,0,0,2,2,,,
20200721LGKT0,20200721,LG,KT,0,T,0,L,0,24,150,44,38,13,4,0,2,0,1,0,0,6,0,0,7,0,1,1,0,10,10,,,
20200721LGKT0,20200721,KT,LG,0,B,0,W,1,27,168,39,34,12,0,0,3,1,0,1,0,4,0,0,7,0,1,0,1,9,9,,,
20200721LTSK0,20200721,LT,SK,0,T,0,L,2,25,166,40,35,10,1,0,1,1,0,0,0,5,0,0,6,1,0,0,0,8,8,,,
20200721LTSK0,20200721,SK,LT,0,B,0,W,0,27,161,40,34,13,1,0,3,2,0,0,1,4,0,0,4,0,0,0,0,7,7,,,
20200721SSNC0,20200721,SS,NC,0,T,0,L,0,28,162,41,36,9,0,0,1,2,0,1,0,4,0,0,7,0,0,0,0,6,6,,,
20200721SSNC0,20200721,NC,SS,0,B,0,W,3,30,182,42,38,13,2,0,3,0,2,0,0,1,0,1,7,0,0,0,0,5,5,,,
20200721WOOB0,20200721,WO,OB,0,T,0,L,0,24,121,36,35,9,1,0,0,0,1,0,0,1,0,0,6,0,0,0,0,6,6,,,
20200721WOOB0,20200721,OB,WO,0,B,0,W,0,27,143,32,31,7,2,1,1,2,0,0,0,1,0,0,9,0,0,0,0,1,1,,,
20200722HTHH0,20200722,HH,HT,0,B,0,L,0,27,148,35,29,4,1,0,0,0,0,1,0,5,0,1,10,0,0,1,1,2,2,,,
20200722HTHH0,20200722,HT,HH,0,T,0,W,2,27,153,37,30,5,0,1,0,0,0,2,0,3,0,0,14,0,1,0,0,1,1,,,
20200722LGKT0,20200722,LG,KT,0,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
20200722LGKT0,20200722,KT,LG,0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
20200722LTSK0,20200722,LT,SK,0,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
20200722LTSK0,20200722,SK,LT,0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
20200722SSNC0,20200722,NC,SS,0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
20200722SSNC0,20200722,SS,NC,0,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
20200722WOOB0,20200722,OB,WO,0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
20200722WOOB0,20200722,WO,OB,0,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
20200723HTHH0,20200723,HH,HT,0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
20200723HTHH0,20200723,HT,HH,0,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
20200723LGKT0,20200723,LG,KT,0,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
20200723LGKT0,20200723,KT,LG,0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
20200723LTSK0,20200723,LT,SK,0,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
20200723LTSK0,20200723,SK,LT,0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
20200723SSNC0,20200723,NC,SS,0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
20200723SSNC0,20200723,SS,NC,0,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
20200723WOOB0,20200723,WO,OB,0,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
20200723WOOB0,20200723,OB,WO,0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
20200724LGOB0,20200724,OB,LG,0,B,0,L,0,27,170,35,31,8,3,0,0,1,1,0,0,4,1,1,3,2,0,0,1,8,8,,,
20200724LGOB0,20200724,LG,OB,0,T,0,W,0,27,134,46,40,15,2,1,2,1,0,0,0,4,0,0,4,1,0,0,0,1,1,,,
20200724LTWO0,20200724,LT,WO,0,T,0,W,3,27,142,40,33,9,1,0,0,2,2,0,0,6,0,0,12,0,1,0,0,2,2,,,
20200724LTWO0,20200724,WO,LT,0,B,0,L,0,27,176,34,31,6,2,0,1,1,0,0,1,2,0,0,8,0,2,0,0,4,4,,,
20200724NCKT0,20200724,NC,KT,0,T,0,W,1,27,154,37,32,7,2,0,1,1,0,0,0,3,0,0,10,0,1,0,2,2,1,,,
20200724NCKT0,20200724,KT,NC,0,B,0,L,0,27,152,39,33,6,1,0,1,2,1,0,0,6,0,0,11,0,0,0,0,3,3,,,
20200724SKHH0,20200724,HH,SK,0,B,0,L,0,27,165,36,29,5,0,0,0,1,2,0,0,7,0,0,13,0,0,0,0,7,7,,,
20200724SKHH0,20200724,SK,HH,0,T,0,W,2,27,163,40,34,8,1,0,3,1,0,0,1,5,0,0,11,0,1,0,0,4,4,,,
20200724SSHT0,20200724,HT,SS,0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
20200724SSHT0,20200724,SS,HT,0,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
20200725LGOB0,20200725,OB,LG,0,B,0,W,1,27,137,34,31,10,4,0,1,0,1,0,1,2,0,0,8,0,1,0,1,3,3,,,
20200725LGOB0,20200725,LG,OB,0,T,0,L,0,24,149,36,35,10,3,0,0,0,0,0,0,1,0,0,6,0,0,0,0,7,7,,,
20200725LTWO0,20200725,LT,WO,0,T,0,W,1,27,145,40,35,9,2,0,0,0,1,0,0,3,0,0,8,0,0,0,0,3,3,,,
20200725LTWO0,20200725,WO,LT,0,B,0,L,0,27,132,36,27,3,1,0,0,0,0,0,1,6,0,3,11,1,0,0,1,6,6,,,
20200725NCKT0,20200725,NC,KT,0,T,0,L,0,24,141,36,31,6,0,0,0,0,1,0,1,4,0,0,9,0,0,0,0,6,6,,,
20200725NCKT0,20200725,KT,NC,0,B,0,W,1,27,150,33,29,8,4,0,1,0,1,0,0,4,0,0,3,2,2,0,0,2,2,,,
20200725SKHH0,20200725,SK,HH,0,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
20200725SKHH0,20200725,HH,SK,0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
20200725SSHT0,20200725,SS,HT,0,T,0,L,0,24,164,38,32,7,1,0,0,1,1,0,0,6,0,0,9,0,0,0,0,8,8,,,
20200725SSHT0,20200725,HT,SS,0,B,0,W,0,27,173,37,31,11,2,0,0,0,0,2,1,2,1,0,10,0,0,0,0,2,2,,,
20200726LGOB0,20200726,LG,OB,0,T,0,W,2,27,163,36,33,7,0,1,0,2,0,0,1,2,0,0,5,0,0,1,0,3,3,,,
20200726LGOB0,20200726,OB,LG,0,B,0,L,0,27,139,40,32,8,2,0,1,0,0,1,0,5,1,1,8,1,0,0,2,4,2,,,
20200726LTWO0,20200726,WO,LT,0,B,0,W,0,27,133,40,35,13,4,0,0,0,1,0,0,3,1,1,4,1,0,0,1,1,0,,,
20200726LTWO0,20200726,LT,WO,0,T,0,L,0,24,150,37,34,8,3,0,0,1,0,0,0,3,0,0,5,0,0,0,0,8,8,,,
20200726NCKT0,20200726,KT,NC,0,B,0,W,0,27,123,36,34,8,0,0,3,2,0,0,0,2,0,0,7,0,0,0,0,4,4,,,
20200726NCKT0,20200726,NC,KT,0,T,0,L,0,24,138,34,32,7,1,0,2,1,0,0,1,1,0,0,8,0,1,0,1,5,3,,,
20200726SKHH0,20200726,HH,SK,0,B,0,L,0,27,180,38,34,8,2,0,1,0,0,0,0,4,0,2,5,0,0,0,0,7,7,,,
20200726SKHH0,20200726,SK,HH,0,T,0,W,2,27,174,42,35,10,2,0,0,1,0,0,0,5,0,0,8,1,0,0,0,4,4,,,
20200726SSHT0,20200726,SS,HT,0,T,0,L,0,24,170,43,36,12,4,0,1,1,0,1,1,4,0,0,5,0,1,0,1,8,6,,,
20200726SSHT0,20200726,HT,SS,0,B,0,W,4,27,157,41,37,12,2,1,0,0,0,0,0,3,0,1,4,0,1,0,0,5,5,,,
