,G_ID,GDAY_DS,T_ID,VS_T_ID,HEADER_NO,TB_SC,CG_CK,WLS,HOLD,INN2,BF,PA,AB,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,WP,BK,ERR,R,ER,P_WHIP_RT,P2_WHIP_RT,CB_WHIP_RT,H1,CUM_ER,CUM_INN2,CUM_KK,CUM_BB,CUM_HIT,CUM_HR,CUM_AB,CUM_SF,CUM_HP,CUM_R,CUM_H1,CUM_H2,CUM_H3,cFIP,K/9,BB/9,K/BB,OAVG,OOBP,OSLG,OOPS,WHIP,BABIP,DICE,ERA,RA9,FIP,kFIP,HR/9,H/9
0,20160401HHLG0,20160401,LG,HH,0,B,0,W,0,36,184,52,46,13,2,0,0,0,0,3,0,3,0,0,10,1,0,0,0,4,4,0.642857143,1.285714286,2.4,11,4,36,10,3,13,0,46,0,0,4,11,2,0,3.792,0.631578947368421,0.3655913978494623,0.9803921568627451,0.2826086956521739,0.32653061224489793,0.32608695652173914,0.6526175687666371,0.2941709453337358,0.3611111111111111,0.0,0.375,0.2857142857142857,0.0,0.0,0.0,0.5592105263157893
1,20160401HHLG0,20160401,HH,LG,0,T,0,L,0,34,196,47,42,9,2,0,1,2,1,1,0,4,0,0,11,0,1,0,0,5,4,1.5,1.0,0.75,6,4,34,11,4,9,1,42,0,0,5,6,2,0,3.792,0.8049535603715168,0.5161290322580645,0.8088235294117647,0.21428571428571427,0.2826086956521739,0.3333333333333333,0.6159420289855072,0.04758647645104519,0.26666666666666666,0.2641578370478628,0.3970588235294118,0.42436974789915954,0.2641578370478628,0.32466063348416296,0.3529411764705882,0.17105263157894723
2,20160401HTNC0,20160401,NC,HT,0,B,0,W,0,27,143,38,34,8,3,0,1,0,0,0,0,3,0,1,10,1,2,0,0,4,4,1.333333333,1.038461538,2.142857143,4,4,27,10,3,8,1,34,0,1,4,4,3,0,3.792,0.9824561403508771,0.4874551971326164,0.9803921568627451,0.2352941176470588,0.3157894736842105,0.4117647058823529,0.7275541795665634,0.147085472666868,0.3043478260869565,0.3291925465838511,0.5,0.42857142857142855,0.3291925465838509,0.4294871794871796,0.4444444444444444,0.29824561403508765
3,20160401HTNC0,20160401,HT,NC,0,T,0,L,0,24,147,36,30,9,2,0,2,0,0,1,0,5,0,0,9,1,0,0,0,5,5,0.5,1.695652174,1.875,5,5,24,9,5,9,2,30,0,0,5,5,2,0,3.792,1.0,0.9139784946236559,0.5294117647058824,0.3,0.4,0.5666666666666667,0.9666666666666668,0.8457414678344912,0.3684210526315789,0.8478260869565218,0.703125,0.6607142857142856,0.8478260869565221,1.0,1.0,0.6151315789473683
4,20160401KTSK0,20160401,SK,KT,0,B,0,L,0,27,151,42,36,11,0,0,2,2,1,0,1,4,0,1,7,0,0,0,0,8,8,1.0,2.357142857,2.25,9,8,27,7,4,11,2,36,1,1,8,9,0,0,3.792,0.5614035087719298,0.6499402628434886,0.5147058823529412,0.3055555555555556,0.3809523809523809,0.4722222222222222,0.8531746031746031,0.7354273633343402,0.32142857142857145,0.8757763975155283,1.0,1.0,0.8757763975155283,0.9423076923076926,0.8888888888888888,0.7456140350877191
5,20160401KTSK0,20160401,KT,SK,0,T,0,W,0,27,147,36,36,10,5,0,1,0,0,0,0,0,0,0,7,1,0,0,0,4,4,1.8,1.75,0.272727273,4,4,27,7,0,10,1,36,0,0,4,4,5,0,3.792,0.5614035087719298,0.0,0.0,0.2777777777777778,0.2777777777777778,0.5,0.7777777777777778,0.0,0.32142857142857145,0.1801242236024846,0.5,0.42857142857142855,0.18012422360248448,0.198717948717949,0.4444444444444444,0.5964912280701754
6,20160401LTWO0,20160401,WO,LT,0,B,0,L,0,27,145,39,37,11,2,0,0,1,0,0,0,2,0,0,6,2,0,0,0,2,1,0.25,1.4444444440000002,0.818181818,9,1,27,6,2,11,0,37,0,0,2,9,2,0,3.792,0.42105263157894735,0.3249701314217443,0.8823529411764706,0.2972972972972973,0.3333333333333333,0.35135135135135137,0.6846846846846847,0.441256418000604,0.3548387096774194,0.05590062111801242,0.125,0.14285714285714285,0.05590062111801242,0.019230769230769496,0.0,0.7456140350877191
7,20160401LTWO0,20160401,LT,WO,0,T,0,W,4,27,138,36,30,6,1,0,0,0,2,0,1,5,0,0,6,0,0,0,1,1,0,0.0,1.222222222,1.0,5,0,27,6,5,6,0,30,1,0,1,5,1,0,3.792,0.42105263157894735,0.8124253285543608,0.35294117647058826,0.2,0.3055555555555556,0.2333333333333333,0.538888888888889,0.147085472666868,0.24,0.2795031055900622,0.0,0.0,0.2795031055900621,0.25000000000000033,0.0,0.0
8,20160401OBSS0,20160401,SS,OB,0,B,0,L,0,27,147,37,31,8,0,0,2,2,1,1,1,3,0,1,3,1,0,0,1,5,4,0.375,2.571428571,3.0,6,4,27,3,3,8,2,31,1,1,5,6,0,0,3.792,0.0,0.4874551971326164,0.29411764705882354,0.25806451612903225,0.3333333333333333,0.4516129032258064,0.7849462365591398,0.147085472666868,0.2222222222222222,0.9999999999999999,0.5,0.5714285714285714,0.9999999999999999,0.967948717948718,0.8888888888888888,0.29824561403508765
9,20160401OBSS0,20160401,OB,SS,0,T,0,W,1,27,146,35,32,8,0,0,0,1,1,0,0,2,0,1,6,2,1,0,0,1,1,1.0,2.0,1.666666667,8,1,27,6,2,8,0,32,0,1,1,8,0,0,3.792,0.42105263157894735,0.3249701314217443,0.8823529411764706,0.25,0.3142857142857143,0.25,0.5642857142857143,0.0,0.3076923076923077,0.13043478260869568,0.125,0.0,0.13043478260869557,0.09615384615384637,0.0,0.29824561403508765
10,20160402HHLG0,20160402,LG,HH,0,B,0,W,2,33,176,50,43,13,4,0,0,0,1,2,0,3,1,2,9,0,0,0,0,7,7,1.909090909,1.272727273,1.5,9,11,69,19,6,26,0,89,0,2,11,20,6,0,3.792,0.6224256292906178,0.3814866760168303,0.9313725490196079,0.2921348314606741,0.3505154639175257,0.3595505617977528,0.7100660257152785,0.3709111919425365,0.37142857142857133,0.06886308398595742,0.5380434782608695,0.47204968944099374,0.06886308398595731,0.06939799331103702,0.0,0.6224256292906177
11,20160402HHLG0,20160402,HH,LG,0,T,0,L,0,30,222,49,40,12,2,1,1,1,2,0,0,8,0,1,9,0,2,0,1,8,8,4.0,2.111111111,3.0,8,12,64,20,12,21,2,82,0,1,13,14,4,1,3.792,0.763157894736842,0.8225806451612903,0.4901960784313726,0.25609756097560976,0.3578947368421053,0.4024390243902439,0.7603337612323492,0.5768508381153727,0.31666666666666665,0.4670031055900623,0.6328125,0.640625,0.4670031055900622,0.527644230769231,0.375,0.42639802631578927
12,20160402HTNC0,20160402,NC,HT,0,B,0,L,0,27,152,39,33,8,2,0,1,1,1,1,0,5,0,0,8,0,0,0,0,4,4,3.6,1.5,2.571428571,5,8,54,18,8,16,2,67,0,1,8,9,5,0,3.792,0.8421052631578947,0.6499402628434886,0.6617647058823529,0.2388059701492537,0.32894736842105265,0.4029850746268657,0.7319324430479184,0.2941709453337358,0.2978723404255319,0.3788819875776399,0.5,0.42857142857142855,0.4161490683229815,0.4935897435897435,0.4444444444444444,0.29824561403508765
13,20160402HTNC0,20160402,HT,NC,0,T,0,W,0,27,146,36,33,7,1,0,1,1,0,0,0,2,0,1,5,1,0,0,0,3,3,0.75,0.6,1.5,5,8,51,14,7,16,3,63,0,1,8,10,3,0,3.792,0.6191950464396283,0.6021505376344086,0.5882352941176471,0.25396825396825395,0.3380281690140845,0.4444444444444444,0.7824726134585289,0.3201272052161246,0.2826086956521739,0.6653270003653636,0.5294117647058822,0.4621848739495797,0.6653270003653636,0.7251131221719459,0.7058823529411765,0.36842105263157865
14,20160402KTSK0,20160402,SK,KT,0,B,0,W,0,30,162,41,34,8,0,0,0,0,2,1,0,6,0,0,3,2,1,0,1,3,2,1.875,1.4,0.428571429,8,10,57,10,10,19,2,70,1,1,11,17,0,0,3.792,0.24376731301939047,0.7696661007357102,0.29411764705882354,0.2714285714285714,0.36585365853658536,0.35714285714285715,0.7229965156794425,0.5496351873340857,0.288135593220339,0.6286368094148415,0.5921052631578947,0.6015037593984962,0.6639424648577966,0.6386639676113363,0.42105263157894735,0.4473684210526315
15,20160402KTSK0,20160402,KT,SK,0,T,0,L,0,28,173,44,37,10,2,0,1,2,0,0,0,6,2,1,6,1,1,0,0,4,4,1.875,1.714285714,2.0,7,8,55,13,6,20,2,73,0,1,8,11,7,0,3.792,0.474641148325359,0.47859237536656896,0.6372549019607843,0.273972602739726,0.3375,0.4520547945205479,0.7895547945205479,0.40649076082479874,0.3103448275862069,0.46109542631281775,0.490909090909091,0.41818181818181827,0.46109542631281764,0.4723776223776227,0.43636363636363645,0.5693779904306219
16,20160402LTWO0,20160402,WO,LT,0,B,0,W,3,27,167,39,34,8,3,0,0,2,1,0,0,5,0,0,9,0,0,0,0,3,3,1.2,1.263157895,0.545454545,5,4,54,15,7,19,0,71,0,0,5,14,5,0,3.792,0.631578947368421,0.5686977299880526,0.6302521008403361,0.2676056338028169,0.3333333333333333,0.3380281690140845,0.6713615023474178,0.441256418000604,0.3392857142857143,0.0931677018633541,0.25,0.21428571428571425,0.09316770186335399,0.09615384615384637,0.0,0.5219298245614034
17,20160402LTWO0,20160402,LT,WO,0,T,0,L,0,24,127,35,30,9,0,0,0,1,1,0,0,4,0,1,6,1,0,0,0,5,4,2.5,1.764705882,1.666666667,9,4,51,12,9,15,0,60,1,1,6,14,1,0,3.792,0.47058823529411764,0.7741935483870969,0.39215686274509803,0.25,0.35211267605633795,0.26666666666666666,0.6187793427230046,0.3979959848632897,0.30612244897959184,0.28388746803069065,0.2647058823529411,0.31092436974789917,0.2838874680306904,0.2635746606334842,0.0,0.2894736842105262
18,20160402OBSS0,20160402,SS,OB,0,B,0,W,0,27,160,42,38,12,6,0,1,1,0,0,0,4,0,0,6,1,0,1,0,6,6,0.692307692,1.75,5.0,5,10,54,9,7,20,3,69,1,1,11,11,6,0,3.792,0.21052631578947367,0.5686977299880526,0.3781512605042017,0.2898550724637681,0.35897435897435903,0.5072463768115942,0.8662207357859533,0.514799154334038,0.29310344827586204,0.7267080745341618,0.625,0.6428571428571428,0.7639751552795034,0.7500000000000001,0.6666666666666666,0.5964912280701754
19,20160402OBSS0,20160402,OB,SS,0,T,0,L,0,24,135,41,36,16,3,1,2,1,1,2,0,2,0,1,7,1,0,0,1,10,10,1.875,2.181818182,2.1,10,11,51,13,4,24,2,68,0,2,11,18,3,1,3.792,0.5448916408668733,0.34408602150537626,0.9558823529411765,0.35294117647058826,0.40540540540540543,0.5147058823529411,0.9201112877583466,0.7094711034519514,0.4150943396226415,0.4022652539276582,0.7279411764705883,0.6890756302521008,0.44172451589331374,0.46719457013574706,0.47058823529411764,0.9999999999999999
20,20160403KTSK0,20160403,SK,KT,0,B,0,L,0,27,167,40,33,7,2,0,1,0,1,0,0,6,0,1,9,0,0,0,1,5,5,1.714285714,1.565217391,1.666666667,4,15,84,19,16,26,3,103,1,2,16,21,2,0,3.792,0.43609022556390986,0.8356374807987711,0.349264705882353,0.2524271844660194,0.3606557377049181,0.3592233009708738,0.7198790386757918,0.514799154334038,0.2804878048780488,0.6202307009760432,0.6026785714285714,0.5918367346938775,0.6441881100266192,0.6538461538461543,0.4285714285714286,0.3515037593984963
21,20160403KTSK0,20160403,KT,SK,0,T,0,W,2,27,158,38,32,8,2,0,0,1,1,0,1,3,0,2,4,0,0,0,0,4,4,1.0,0.954545455,2.142857143,6,12,82,17,9,28,2,105,1,3,12,17,9,0,3.792,0.3645699614890885,0.48151062155782837,0.5555555555555556,0.26666666666666666,0.3389830508474576,0.4095238095238095,0.7485068603712671,0.3210768244801141,0.2988505747126437,0.40948341160430246,0.4939024390243903,0.421602787456446,0.434025147704893,0.4160412757973736,0.2926829268292683,0.48010269576380005
22,20160403LTWO0,20160403,WO,LT,0,B,0,W,0,27,152,43,38,12,1,1,0,0,0,0,1,4,0,0,5,1,0,0,0,5,4,1.875,1.5,0.818181818,10,8,81,20,11,31,0,109,1,0,10,24,6,1,3.792,0.5146198830409358,0.5957785742731979,0.53475935828877,0.28440366972477066,0.3471074380165289,0.3577981651376147,0.7049056031541436,0.5883418906674722,0.34444444444444444,0.1469979296066254,0.3333333333333333,0.33333333333333326,0.14699792960662528,0.13034188034188066,0.0,0.6461988304093566
