date,time,game,stadium
09.29(화),18:30,롯데vsLG,잠실
09.29(화),18:30,KTvs삼성,대구
09.29(화),18:30,SKvsNC,창원
09.29(화),18:30,KIAvs키움,고척
09.29(화),18:30,두산vs한화,대전
09.30(수),14:00,롯데vsLG,잠실
09.30(수),14:00,KTvs삼성,대구
09.30(수),14:00,SKvsNC,창원
09.30(수),14:00,KIAvs키움,고척
09.30(수),14:00,두산vs한화,대전
10.01(목),14:00,롯데vsLG,잠실
10.01(목),14:00,KTvs삼성,대구
10.01(목),14:00,SKvsNC,창원
10.01(목),14:00,KIAvs키움,고척
10.01(목),14:00,두산vs한화,대전
10.02(금),14:00,KIAvs두산,잠실
10.02(금),14:00,키움vsSK,문학
10.02(금),14:00,한화vs롯데,사직
10.02(금),14:00,삼성vsNC,창원
10.02(금),14:00,LGvsKT,수원
10.03(토),14:00,KIAvs두산,잠실
10.03(토),14:00,키움vsSK,문학
10.03(토),14:00,한화vs롯데,사직
10.03(토),14:00,삼성vsNC,창원
10.03(토),14:00,LGvsKT,수원
10.03(토),17:00,삼성vsNC,창원
10.03(토),17:00,LGvsKT,수원
10.04(일),14:00,KIAvs두산,잠실
10.04(일),14:00,키움vsSK,문학
10.04(일),14:00,한화vs롯데,사직
10.04(일),14:00,삼성vsNC,창원
10.04(일),14:00,LGvsKT,수원
10.06(화),18:30,삼성vsLG,잠실
10.06(화),18:30,두산vsSK,문학
10.06(화),18:30,KTvs롯데,사직
10.06(화),18:30,한화vsKIA,광주
10.06(화),18:30,NCvs키움,고척
10.07(수),15:00,한화vsKIA,광주
10.07(수),18:30,한화vsKIA,광주
10.07(수),18:30,삼성vsLG,잠실
10.07(수),18:30,두산vsSK,문학
10.07(수),18:30,KTvs롯데,사직
10.07(수),18:30,NCvs키움,고척
10.08(목),18:30,삼성vsLG,잠실
10.08(목),18:30,두산vsSK,문학
10.08(목),18:30,KTvs롯데,사직
10.08(목),18:30,한화vsKIA,광주
10.08(목),18:30,NCvs키움,고척
10.09(금),14:00,NCvsLG,잠실
10.09(금),14:00,롯데vs삼성,대구
10.09(금),14:00,두산vsKT,수원
10.09(금),14:00,SKvsKIA,광주
10.09(금),14:00,키움vs한화,대전
10.10(토),14:00,NCvsLG,잠실
10.10(토),17:00,롯데vs삼성,대구
10.10(토),17:00,두산vsKT,수원
10.10(토),17:00,SKvsKIA,광주
10.10(토),17:00,키움vs한화,대전
10.10(토),17:00,NCvsLG,잠실
10.11(일),14:00,NCvsLG,잠실
10.11(일),14:00,롯데vs삼성,대구
10.11(일),14:00,두산vsKT,수원
10.11(일),14:00,SKvsKIA,광주
10.11(일),14:00,키움vs한화,대전
10.13(화),18:30,한화vs두산,잠실
10.13(화),18:30,LGvs롯데,사직
10.13(화),18:30,SKvs삼성,대구
10.13(화),18:30,KIAvsNC,창원
10.13(화),18:30,키움vsKT,수원
10.14(수),18:30,한화vs두산,잠실
10.14(수),18:30,LGvs롯데,사직
10.14(수),18:30,SKvs삼성,대구
10.14(수),18:30,KIAvsNC,창원
10.14(수),18:30,키움vsKT,수원
10.15(목),18:30,한화vs두산,잠실
10.15(목),18:30,LGvs롯데,사직
10.15(목),18:30,SKvs삼성,대구
10.15(목),18:30,KIAvsNC,창원
10.15(목),18:30,키움vsKT,수원
10.16(금),18:30,KIAvsLG,잠실
10.16(금),18:30,KTvsSK,문학
10.16(금),18:30,롯데vsNC,창원
10.16(금),18:30,두산vs키움,고척
10.16(금),18:30,삼성vs한화,대전
10.17(토),17:00,KIAvsLG,잠실
10.17(토),17:00,KTvsSK,문학
10.17(토),17:00,롯데vsNC,창원
10.17(토),17:00,두산vs키움,고척
10.17(토),17:00,삼성vs한화,대전
10.18(일),14:00,KIAvsLG,잠실
10.18(일),14:00,KTvsSK,문학
10.18(일),14:00,롯데vsNC,창원
10.18(일),14:00,두산vs키움,고척
10.18(일),14:00,삼성vs한화,대전
