G_ID,TEAM,TB_SC
20200929LTLG0,LT,T
20200929KTSS0,KT,T
20200929SKNC0,SK,T
20200929HTWO0,HT,T
20200929OBHH0,OB,T
20200930LTLG0,LT,T
20200930KTSS0,KT,T
20200930SKNC0,SK,T
20200930HTWO0,HT,T
20200930OBHH0,OB,T
20201001LTLG0,LT,T
20201001KTSS0,KT,T
20201001SKNC0,SK,T
20201001HTWO0,HT,T
20201001OBHH0,OB,T
20201002HTOB0,HT,T
20201002WOSK0,WO,T
20201002HHLT0,HH,T
20201002SSNC0,SS,T
20201002LGKT0,LG,T
20201003HTOB0,HT,T
20201003WOSK0,WO,T
20201003HHLT0,HH,T
20201003SSNC1,SS,T
20201003LGKT1,LG,T
20201003SSNC1,SS,T
20201003LGKT1,LG,T
20201004HTOB0,HT,T
20201004WOSK0,WO,T
20201004HHLT0,HH,T
20201004SSNC0,SS,T
20201004LGKT0,LG,T
20201006SSLG0,SS,T
20201006OBSK0,OB,T
20201006KTLT0,KT,T
20201006HHHT0,HH,T
20201006NCWO0,NC,T
20201007HHHT1,HH,T
20201007HHHT1,HH,T
20201007SSLG0,SS,T
20201007OBSK0,OB,T
20201007KTLT0,KT,T
20201007NCWO0,NC,T
20201008SSLG0,SS,T
20201008OBSK0,OB,T
20201008KTLT0,KT,T
20201008HHHT0,HH,T
20201008NCWO0,NC,T
20201009NCLG0,NC,T
20201009LTSS0,LT,T
20201009OBKT0,OB,T
20201009SKHT0,SK,T
20201009WOHH0,WO,T
20201010NCLG1,NC,T
20201010LTSS0,LT,T
20201010OBKT0,OB,T
20201010SKHT0,SK,T
20201010WOHH0,WO,T
20201010NCLG1,NC,T
20201011NCLG0,NC,T
20201011LTSS0,LT,T
20201011OBKT0,OB,T
20201011SKHT0,SK,T
20201011WOHH0,WO,T
20201013HHOB0,HH,T
20201013LGLT0,LG,T
20201013SKSS0,SK,T
20201013HTNC0,HT,T
20201013WOKT0,WO,T
20201014HHOB0,HH,T
20201014LGLT0,LG,T
20201014SKSS0,SK,T
20201014HTNC0,HT,T
20201014WOKT0,WO,T
20201015HHOB0,HH,T
20201015LGLT0,LG,T
20201015SKSS0,SK,T
20201015HTNC0,HT,T
20201015WOKT0,WO,T
20201016HTLG0,HT,T
20201016KTSK0,KT,T
20201016LTNC0,LT,T
20201016OBWO0,OB,T
20201016SSHH0,SS,T
20201017HTLG0,HT,T
20201017KTSK0,KT,T
20201017LTNC0,LT,T
20201017OBWO0,OB,T
20201017SSHH0,SS,T
20201018HTLG0,HT,T
20201018KTSK0,KT,T
20201018LTNC0,LT,T
20201018OBWO0,OB,T
20201018SSHH0,SS,T
20200929LTLG0,LG,B
20200929KTSS0,SS,B
20200929SKNC0,NC,B
20200929HTWO0,WO,B
20200929OBHH0,HH,B
20200930LTLG0,LG,B
20200930KTSS0,SS,B
20200930SKNC0,NC,B
20200930HTWO0,WO,B
20200930OBHH0,HH,B
20201001LTLG0,LG,B
20201001KTSS0,SS,B
20201001SKNC0,NC,B
20201001HTWO0,WO,B
20201001OBHH0,HH,B
20201002HTOB0,OB,B
20201002WOSK0,SK,B
20201002HHLT0,LT,B
20201002SSNC0,NC,B
20201002LGKT0,KT,B
20201003HTOB0,OB,B
20201003WOSK0,SK,B
20201003HHLT0,LT,B
20201003SSNC1,NC,B
20201003LGKT1,KT,B
20201003SSNC1,NC,B
20201003LGKT1,KT,B
20201004HTOB0,OB,B
20201004WOSK0,SK,B
20201004HHLT0,LT,B
20201004SSNC0,NC,B
20201004LGKT0,KT,B
20201006SSLG0,LG,B
20201006OBSK0,SK,B
20201006KTLT0,LT,B
20201006HHHT0,HT,B
20201006NCWO0,WO,B
20201007HHHT1,HT,B
20201007HHHT1,HT,B
20201007SSLG0,LG,B
20201007OBSK0,SK,B
20201007KTLT0,LT,B
20201007NCWO0,WO,B
20201008SSLG0,LG,B
20201008OBSK0,SK,B
20201008KTLT0,LT,B
20201008HHHT0,HT,B
20201008NCWO0,WO,B
20201009NCLG0,LG,B
20201009LTSS0,SS,B
20201009OBKT0,KT,B
20201009SKHT0,HT,B
20201009WOHH0,HH,B
20201010NCLG1,LG,B
20201010LTSS0,SS,B
20201010OBKT0,KT,B
20201010SKHT0,HT,B
20201010WOHH0,HH,B
20201010NCLG1,LG,B
20201011NCLG0,LG,B
20201011LTSS0,SS,B
20201011OBKT0,KT,B
20201011SKHT0,HT,B
20201011WOHH0,HH,B
20201013HHOB0,OB,B
20201013LGLT0,LT,B
20201013SKSS0,SS,B
20201013HTNC0,NC,B
20201013WOKT0,KT,B
20201014HHOB0,OB,B
20201014LGLT0,LT,B
20201014SKSS0,SS,B
20201014HTNC0,NC,B
20201014WOKT0,KT,B
20201015HHOB0,OB,B
20201015LGLT0,LT,B
20201015SKSS0,SS,B
20201015HTNC0,NC,B
20201015WOKT0,KT,B
20201016HTLG0,LG,B
20201016KTSK0,SK,B
20201016LTNC0,NC,B
20201016OBWO0,WO,B
20201016SSHH0,HH,B
20201017HTLG0,LG,B
20201017KTSK0,SK,B
20201017LTNC0,NC,B
20201017OBWO0,WO,B
20201017SSHH0,HH,B
20201018HTLG0,LG,B
20201018KTSK0,SK,B
20201018LTNC0,NC,B
20201018OBWO0,WO,B
20201018SSHH0,HH,B
