,GYEAR,P_ID,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,BA,SLG,IsoP,RC,wOBA,wRAA,wRC,wRC+
0,2016,60404,52,47,1,3,5,0,0,0,0,2,2,0,3,0,0,12,1,0,0.10638297872340426,0.10638297872340426,0.0,0.6557692307692308,0.13922,-10.560218778486782,7.076918869644486,-45.05795025393928
1,2016,61102,297,263,47,28,70,7,0,8,0,0,4,6,17,0,7,48,6,5,0.2661596958174905,0.3840304182509506,0.11787072243346008,33.315555555555555,0.3212696245733788,-11.027275753606643,41.54287112540874,73.47937529195133
2,2016,61186,320,276,41,38,81,10,1,6,6,9,6,1,34,0,3,49,3,2,0.29347826086956524,0.40217391304347827,0.10869565217391303,42.194625,0.3624936305732484,0.1439943331262471,44.80044998229102,100.3214159221568
3,2016,62164,137,111,12,18,28,5,0,4,1,0,0,0,25,1,1,37,1,0,0.25225225225225223,0.40540540540540543,0.1531531531531532,20.124525547445256,0.37202205882352946,1.2516153681162598,19.18913587859939,106.52562757099197
4,2016,62700,441,405,57,58,113,21,1,10,5,7,8,1,18,1,9,115,3,19,0.27901234567901234,0.40987654320987654,0.1308641975308642,53.073015873015876,0.3319699074074074,-12.072261470677606,61.712625257436116,80.44661245436086
5,2016,63077,39,39,4,7,7,3,0,0,2,2,0,0,0,0,0,9,0,0,0.1794871794871795,0.2564102564102564,0.0769230769230769,1.4153846153846152,0.19474358974358974,-5.9462169553327255,5.307532898581213,-8.905072441991301
6,2016,63123,41,38,3,4,7,3,0,0,0,0,0,1,2,0,0,12,0,5,0.18421052631578946,0.2631578947368421,0.07894736842105263,2.423414634146341,0.22168292682926827,-5.244302643573383,5.6120901794250395,8.635842446456742
7,2016,64086,184,158,24,30,44,8,0,8,0,4,6,0,15,0,5,54,3,7,0.27848101265822783,0.4810126582278481,0.20253164556962028,26.120869565217394,0.37570224719101125,2.2982802945725367,25.772490653774852,108.92189555346481
8,2016,64153,215,203,37,24,56,10,1,6,3,0,3,2,6,0,1,48,1,5,0.27586206896551724,0.4236453201970443,0.14778325123152708,26.524465116279067,0.3196179245283019,-8.306423178135907,30.061365473590065,72.40390970718968
9,2016,65103,579,523,102,101,161,36,0,26,18,9,1,6,39,2,10,67,8,17,0.3078393881453155,0.5258126195028681,0.2179732313575526,100.07333333333334,0.38890798611111105,14.202118467031271,81.0845287020156,117.52050143971289
10,2016,65115,52,45,4,13,12,0,1,0,1,1,1,0,6,0,0,9,0,2,0.26666666666666666,0.3111111111111111,0.04444444444444445,5.426923076923076,0.32225490196078427,-1.883997354639214,7.243769281641555,74.12091545825257
11,2016,66740,532,492,120,78,158,31,2,33,1,3,1,2,33,3,4,90,16,6,0.32113821138211385,0.5934959349593496,0.27235772357723576,100.21413533834584,0.4121003787878788,24.296628546172776,74.52567035441011,132.62168172149944
12,2016,71347,227,205,16,38,47,7,3,1,3,3,6,0,16,0,0,44,3,3,0.22926829268292684,0.3073170731707317,0.07804878048780486,18.039118942731278,0.2780633484162896,-17.368842214678452,31.703485276587323,45.34662613379972
13,2016,71610,217,182,25,23,48,6,1,5,3,0,2,3,28,0,2,46,7,1,0.26373626373626374,0.3901098901098901,0.12637362637362637,27.143594470046082,0.3495116279069767,-2.4703525471158176,30.368615886879653,91.86849062832187
14,2016,71752,652,529,136,94,193,39,0,23,1,0,0,6,108,10,9,97,11,4,0.3648393194706994,0.5689981096408318,0.20415879017013233,152.46248466257668,0.46283021806853575,59.928260875738665,91.37191451054562,165.65322181829387
15,2016,71842,159,132,10,12,24,5,0,1,0,1,4,2,17,0,4,39,2,3,0.18181818181818182,0.24242424242424243,0.06060606060606061,10.719245283018868,0.2648387096774194,-14.082630046755071,22.171429999705943,36.73571407567354
16,2016,72133,578,509,90,84,176,24,0,11,6,6,0,7,58,5,4,71,13,0,0.34577603143418467,0.4577603143418468,0.1119842829076621,96.45851211072664,0.3965462478184991,18.2021251040041,80.95149156592389,122.49397565991609
17,2016,73136,219,198,29,29,57,7,3,10,0,0,2,0,11,0,8,62,3,2,0.2878787878787879,0.5050505050505051,0.21717171717171718,35.32666666666667,0.3775806451612903,3.1104478489722696,30.67420295821449,110.14497015320374
18,2016,74729,85,70,9,4,23,2,0,1,0,0,2,0,11,0,2,16,1,0,0.32857142857142857,0.4,0.07142857142857145,13.349411764705883,0.39866265060240963,2.8407705571602726,11.93342083008424,123.8720214887418
19,2016,74823,198,180,14,20,47,4,0,1,8,4,4,0,12,0,2,26,6,0,0.2611111111111111,0.3,0.03888888888888886,16.453939393939393,0.2945876288659794,-12.167410651354675,27.658548431053767,56.106022181260194
20,2016,75808,650,575,88,121,178,31,2,18,22,6,1,5,60,2,9,58,14,16,0.3095652173913043,0.4643478260869565,0.1547826086956522,104.41301538461539,0.38167697063369393,11.659098370010089,91.01793707441541,112.8121960110001
21,2016,76100,350,290,37,43,79,12,2,7,8,5,0,3,47,1,10,81,4,3,0.27241379310344827,0.4,0.12758620689655176,49.45017142857143,0.3683495702005731,2.025842816955861,49.00578812233417,104.1343730958283
22,2016,78217,347,308,20,62,98,18,4,1,19,7,4,0,35,0,0,64,6,0,0.3181818181818182,0.41233766233766234,0.09415584415584416,51.202305475504325,0.37327405247813406,3.5661770372949144,48.590277167254456,107.34083375318015
23,2016,79150,257,225,22,30,50,12,1,1,5,5,2,2,28,0,0,66,1,7,0.2222222222222222,0.29777777777777775,0.07555555555555554,22.121089494163428,0.2887960784313725,-17.149870413069518,35.91326898671958,52.33499051398134
24,2016,79192,451,403,81,64,126,20,3,9,7,3,2,8,31,0,7,75,9,4,0.31265508684863524,0.4441687344913151,0.13151364764267987,66.63733924611974,0.3665033407572382,1.8514190351088842,63.14410514198473,102.93224427480025
25,2016,79198,23,21,0,3,4,0,0,0,1,0,2,0,0,0,0,6,1,2,0.19047619047619047,0.19047619047619047,0.0,0.7252173913043478,0.1798095238095238,-3.8198550158440767,3.053919347137214,-18.629037759132807
