,G_ID,GDAY_DS,T_ID,VS_T_ID,HEADER_NO,TB_SC,P_ID,START_CK,RELIEF_CK,CG_CK,QUIT_CK,WLS,HOLD,INN2,BF,PA,AB,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,WP,BK,ERR,R,ER,P_WHIP_RT,P2_WHIP_RT,CB_WHIP_RT,CUM_ER,CUM_INN2,CUM_KK,CUM_BB,CUM_HIT,CUM_HR,CUM_AB,CUM_SF,ERA,K/9,BB/9,K/BB,WHIP,BABIP
0,20160401HHLG0,20160401,LG,HH,0,B,60146,0,1,0,1,W,0,6,29,8,7,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0.0,1.0,1.5,0,6,3,1,1,0,7,0,0.0,13.5,4.5,3.0,1.0,0.25
1,20160401HHLG0,20160401,LG,HH,0,B,61891,0,1,0,0, ,0,5,33,8,6,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0.0,1.8,1.5,0,5,1,1,2,0,6,0,0.0,5.3999999999999995,5.3999999999999995,1.0,1.7999999999999998,0.4
2,20160401HHLG0,20160401,LG,HH,0,B,62146,0,1,0,0, ,0,1,7,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,0.0,0,1,0,0,1,0,2,0,0.0,0.0,0.0,0.0,3.0,0.5
3,20160401HHLG0,20160401,LG,HH,0,B,62698,1,0,0,0, ,0,18,94,28,25,9,2,0,0,0,0,2,0,1,0,0,4,1,0,0,0,4,4,0.818181818,1.588235294,3.75,4,18,4,1,9,0,25,0,6.0,6.0,1.5,4.0,1.6666666666666667,0.42857142857142855
4,20160401HHLG0,20160401,HH,LG,0,T,65764,0,1,0,1,L,0,4,27,6,4,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0.0,1.5,0.0,1,4,1,1,1,0,4,0,6.75,6.75,6.75,1.0,1.5,0.3333333333333333
5,20160401HHLG0,20160401,LG,HH,0,B,70839,0,1,0,0, ,0,3,11,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0,3,1,0,0,0,3,0,0.0,9.0,0.0,0.0,0.0,0.0
6,20160401HHLG0,20160401,LG,HH,0,B,71118,0,1,0,0, ,0,3,10,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0,3,1,0,0,0,3,0,0.0,9.0,0.0,0.0,0.0,0.0
7,20160401HHLG0,20160401,HH,LG,0,T,72447,0,1,0,0, ,0,6,29,7,7,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.5,1.5,0,6,2,0,1,0,7,0,0.0,9.0,0.0,0.0,0.5,0.2
8,20160401HHLG0,20160401,HH,LG,0,T,73801,1,0,0,0, ,0,9,57,15,14,5,1,0,1,1,0,0,0,1,0,0,4,0,0,0,0,3,3,1.5,1.5,1.5,3,9,4,1,5,1,14,0,9.0,12.0,3.0,4.0,2.0,0.4444444444444444
9,20160401HHLG0,20160401,HH,LG,0,T,74731,0,1,0,0, ,0,1,18,3,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0.0,6.0,0.0,0,1,1,1,1,0,2,0,0.0,27.0,27.0,1.0,6.0,1.0
10,20160401HHLG0,20160401,HH,LG,0,T,74857,0,1,0,0, ,0,9,27,9,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0,9,2,0,0,0,9,0,0.0,6.0,0.0,0.0,0.0,0.0
11,20160401HHLG0,20160401,HH,LG,0,T,99737,0,1,0,0, ,0,5,38,7,6,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1.0,1.2,0.0,0,5,1,1,1,0,6,0,0.0,5.3999999999999995,5.3999999999999995,1.0,1.2,0.2
12,20160401HTNC0,20160401,NC,HT,0,B,62966,0,1,0,0,W,0,3,19,4,4,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,1.0,0.0,0,3,2,0,1,0,4,0,0.0,18.0,0.0,0.0,1.0,0.5
13,20160401HTNC0,20160401,NC,HT,0,B,63938,1,0,0,0, ,0,17,85,25,23,7,2,0,1,0,0,0,0,1,0,1,5,1,2,0,0,4,4,1.2,1.125,2.4,4,17,5,1,7,1,23,0,6.352941176470588,7.941176470588235,1.588235294117647,5.0,1.4117647058823528,0.35294117647058826
14,20160401HTNC0,20160401,HT,NC,0,T,66628,0,1,0,1,L,0,6,35,10,8,3,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,1,1,1.0,2.0,1.5,1,6,2,1,3,0,8,0,4.5,9.0,4.5,2.0,2.0,0.5
15,20160401HTNC0,20160401,NC,HT,0,B,75867,0,1,0,0, ,0,4,27,6,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6.0,1.5,0.0,0,4,0,2,0,0,4,0,0.0,0.0,13.5,0.0,1.5,0.0
16,20160401HTNC0,20160401,HT,NC,0,T,77637,1,0,0,0, ,0,18,112,26,22,6,2,0,2,0,0,0,0,4,0,0,7,1,0,0,0,4,4,0.0,1.588235294,2.0,4,18,7,4,6,2,22,0,6.0,10.5,6.0,1.75,1.6666666666666667,0.3076923076923077
17,20160401HTNC0,20160401,NC,HT,0,B,78352,0,1,0,1,S,0,3,12,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0,3,3,0,0,0,3,0,0.0,27.0,0.0,0.0,0.0,0.0
18,20160401KTSK0,20160401,SK,KT,0,B,62056,0,1,0,1, ,0,3,11,3,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,3.0,0,3,0,1,0,0,2,0,0.0,0.0,9.0,0.0,1.0,0.0
19,20160401KTSK0,20160401,KT,SK,0,T,64001,0,1,0,1, ,0,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
20,20160401KTSK0,20160401,SK,KT,0,B,64893,0,1,0,0, ,0,5,15,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,5,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
21,20160401KTSK0,20160401,KT,SK,0,T,66049,1,0,0,0,W,0,18,106,25,25,7,3,0,1,0,0,0,0,0,0,0,2,0,0,0,0,4,4,3.0,1.75,0.0,4,18,2,0,7,1,25,0,6.0,3.0,0.0,0.0,1.1666666666666667,0.2727272727272727
22,20160401KTSK0,20160401,SK,KT,0,B,71845,0,1,0,0, ,0,4,16,5,5,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,3.0,0,4,2,0,1,0,5,0,0.0,13.5,0.0,0.0,0.75,0.3333333333333333
23,20160401KTSK0,20160401,SK,KT,0,B,72523,0,1,0,0, ,0,1,18,3,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0.0,0.0,0.0,1,1,1,1,1,0,2,0,27.0,27.0,27.0,1.0,6.0,1.0
24,20160401KTSK0,20160401,KT,SK,0,T,75149,0,1,0,0, ,0,2,7,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0,2,2,0,0,0,2,0,0.0,27.0,0.0,0.0,0.0,0.0
25,20160401KTSK0,20160401,KT,SK,0,T,77318,0,1,0,0, ,0,6,28,8,8,3,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0.0,0.0,1.5,0,6,3,0,3,0,8,0,0.0,13.5,0.0,0.0,1.5,0.6
