G_ID,GDAY_DS,T_ID,VS_T_ID,HEADER_NO,TB_SC,P_ID,START_CK,RELIEF_CK,CG_CK,QUIT_CK,WLS,HOLD,INN2,BF,PA,AB,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,WP,BK,ERR,R,ER,P_WHIP_RT,P2_WHIP_RT,CB_WHIP_RT,CUM_ER,CUM_INN2,CUM_KK,CUM_BB,CUM_HIT,CUM_HR,CUM_AB,CUM_SF,CUM_HP,CUM_R,CUM_H2,CUM_H3,cFIP,ERA,K/9,BB/9,K/BB,WHIP,BABIP,DICE,FIP,kFIP,RA9,HR/9,H/9,OAVG,OOBP,OSLG,OOPS
20200505HHSK0,20200505,SK,HH,0,B,50815,1,0,0,0,L,0,21,93,28,25,6,3,0,0,0,0,1,0,2,0,0,4,1,0,0,0,3,3,2.0,1.2,0.857142857,3,21,4,2,6,0,25,0,0,3,3,0,3.63,3.857142857142857,5.142857142857143,2.5714285714285716,2.0,1.1428571428571428,0.2857142857142857,2.7142857142857144,3.3442857142857143,3.9157142857142855,3.857142857142857,0.0,7.714285714285714,0.24,0.2962962962962963,0.48,0.7762962962962963
20200505HHSK0,20200505,SK,HH,0,B,63894,0,1,0,0, ,0,3,13,3,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,1.5,0,3,1,0,1,0,3,0,0,0,0,0,3.63,0.0,9.0,0.0,0.0,1.0,0.5,1.0,1.63,2.63,0.0,0.0,9.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666
20200505HHSK0,20200505,HH,SK,0,T,69744,1,0,1,1,W,0,27,101,30,29,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0.0,0.0,0.75,0,27,2,1,2,0,29,0,0,0,0,0,3.63,0.0,2.0,1.0,2.0,0.3333333333333333,0.07407407407407407,2.888888888888889,3.5188888888888887,3.741111111111111,0.0,0.0,2.0,0.06896551724137931,0.1,0.06896551724137931,0.16896551724137931
20200505HHSK0,20200505,SK,HH,0,B,76350,0,1,0,1, ,0,3,9,4,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,3,0,0,1,0,3,0,0,0,0,0,3.63,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,3.0,3.63,3.63,0.0,0.0,9.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666
20200505LTKT0,20200505,KT,LT,0,B,50040,1,0,0,0, ,0,18,83,21,21,4,1,0,0,0,0,0,0,0,0,0,8,1,0,0,0,1,1,0.0,0.666666667,1.0,1,18,8,0,4,0,21,0,0,1,1,0,3.63,1.5,12.0,0.0,0.0,0.6666666666666666,0.3076923076923077,0.3333333333333335,0.9633333333333334,2.296666666666667,1.5,0.0,6.0,0.19047619047619047,0.19047619047619047,0.2857142857142857,0.47619047619047616
20200505LTKT0,20200505,LT,KT,0,T,50558,1,0,0,0, ,0,17,97,23,20,3,1,0,1,0,0,0,0,3,0,0,4,1,0,0,0,2,2,0.0,1.058823529,2.4,2,17,4,3,3,1,20,0,0,2,1,0,3.63,3.176470588235294,6.352941176470588,4.764705882352941,1.3333333333333333,1.0588235294117647,0.13333333333333333,5.470588235294118,6.100588235294117,6.982941176470588,3.176470588235294,1.588235294117647,4.764705882352941,0.15,0.2608695652173913,0.45,0.7108695652173913
20200505LTKT0,20200505,LT,KT,0,T,62528,0,1,0,1, ,0,3,23,4,3,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0,3,2,1,0,0,3,0,0,0,0,0,3.63,0.0,18.0,9.0,2.0,1.0,0.0,2.0,2.63,4.63,0.0,0.0,0.0,0.0,0.25,0.0,0.25
20200505LTKT0,20200505,LT,KT,0,T,63512,0,1,0,0, ,0,3,21,4,3,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,6.0,0,3,1,1,1,0,3,0,0,0,0,0,3.63,0.0,9.0,9.0,1.0,2.0,0.5,4.0,4.63,5.63,0.0,0.0,9.0,0.3333333333333333,0.5,0.3333333333333333,0.8333333333333333
20200505LTKT0,20200505,KT,LT,0,B,65048,0,1,0,0, ,0,3,7,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,3,0,0,0,0,2,1,0,0,0,0,3.63,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.63,3.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200505LTKT0,20200505,KT,LT,0,B,65062,0,1,0,0,L,0,3,34,6,4,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,3,3,0.0,3.0,3.0,3,3,0,2,1,1,4,0,0,3,0,0,3.63,27.0,0.0,18.0,0.0,3.0,0.0,22.0,22.63,23.63,27.0,9.0,9.0,0.25,0.5,1.25,1.75
