G_ID,GDAY_DS,T_ID,VS_T_ID,HEADER_NO,TB_SC,P_ID,START_CK,RELIEF_CK,CG_CK,QUIT_CK,WLS,HOLD,INN2,BF,PA,AB,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,WP,BK,ERR,R,ER,P_WHIP_RT,P2_WHIP_RT,CB_WHIP_RT,H1,CUM_ER,CUM_INN2,CUM_KK,CUM_BB,CUM_HIT,CUM_HR,CUM_AB,CUM_SF,CUM_HP,CUM_R,CUM_H1,CUM_H2,CUM_H3,cFIP,ERA,K/9,BB/9,K/BB,WHIP,BABIP,DICE,FIP,kFIP,RA9,HR/9,H/9,OAVG,OOBP,OSLG,OOPS
20170331HHOB0,20170331,OB,HH,0,B,61240,1,0,0,0,W,0,24,112,30,26,4,0,0,0,0,1,1,0,3,0,0,7,0,1,0,0,0,0,0.6,0.857142857,1.5,4,0,24,7,3,4,0,26,0,0,0,4,0,0,3.735,0.0,7.875,3.375,2.3333333333333335,0.875,0.21052631578947367,2.375,3.11,3.985,0.0,0.0,4.5,0.15384615384615385,0.2413793103448276,0.15384615384615385,0.3952254641909815
20170331HHOB0,20170331,HH,OB,0,T,67742,1,0,0,0,L,0,18,89,22,18,1,1,0,0,2,0,0,2,0,0,2,6,0,0,0,0,2,0,0.0,0.166666667,0.0,0,0,18,6,0,1,0,18,2,2,2,0,1,0,3.735,0.0,9.0,0.0,0.0,0.16666666666666666,0.07142857142857142,2.0,2.735,3.735,3.0,0.0,1.5,0.05555555555555555,0.13636363636363635,0.1111111111111111,0.24747474747474746
20170331HHOB0,20170331,OB,HH,0,B,73226,0,1,0,1,S,0,3,17,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,3,1,0,0,0,3,0,0,0,0,0,0,3.735,0.0,9.0,0.0,0.0,0.0,0.0,1.0,1.7349999999999999,2.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170331HHOB0,20170331,HH,OB,0,T,74167,0,1,0,1, ,0,3,22,6,5,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1.0,0.0,1.5,2,0,3,1,1,2,0,5,0,0,0,2,0,0,3.735,0.0,9.0,9.0,1.0,3.0,0.5,4.0,4.734999999999999,5.734999999999999,0.0,0.0,18.0,0.4,0.5,0.4,0.9
20170331HHOB0,20170331,HH,OB,0,T,74731,0,1,0,0, ,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3.735,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.735,3.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170331HHOB0,20170331,HH,OB,0,T,79764,0,1,0,0, ,0,2,18,3,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3.0,3.0,0.0,1,0,2,1,0,1,0,3,0,0,0,1,0,0,3.735,0.0,13.5,0.0,0.0,1.5,0.5,0.0,0.7349999999999999,2.235,0.0,0.0,13.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666
20170331HHOB0,20170331,HH,OB,0,T,99737,0,1,0,0, ,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,3.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20170331HTSS0,20170331,HT,SS,0,T,60636,0,1,0,0, ,0,3,11,3,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0,0,3,1,1,0,0,2,0,0,0,0,0,0,3.735,0.0,9.0,9.0,1.0,1.0,0.0,4.0,4.734999999999999,5.734999999999999,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333
20170331HTSS0,20170331,SS,HT,0,B,61365,0,1,0,0, ,0,2,6,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,3.735,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0.7349999999999999,2.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170331HTSS0,20170331,HT,SS,0,T,62754,0,1,0,1, ,0,3,13,4,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,1.5,0,1,3,0,0,1,1,4,0,0,1,0,0,0,3.735,9.0,0.0,0.0,0.0,1.0,0.0,16.0,16.735,17.735,9.0,9.0,9.0,0.25,0.25,1.0,1.25
