,G_ID,GDAY_DS,T_ID,VS_T_ID,HEADER_NO,TB_SC,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN,H1,CUM_HIT,CUM_AB,CUM_H1,CUM_H2,CUM_H3,CUM_HR,CUM_BB,CUM_HP,CUM_SF,CUM_CS,CUM_GD,CUM_SB,CUM_SH,CUM_IB,CUM_KK,CUM_PA,wBB,wHBP,w1B,w2B,w3B,wHR,AVG,SLG,IsoP,OBP,OPS,RC,XR,wOBA,BABIP
0,20190323HHOB0,20190323,HH,OB,0,T,42,34,4,4,12,1,0,0,0,1,1,1,5,0,1,7,2,1,11,0.2,10,2,11,12,34,11,1,0,0,5,1,1,1,2,0,1,0,7,42,0.721,0.752,0.945,1.317,1.653,2.074,0.35294117647058826,0.38235294117647056,0.029411764705882307,0.4390243902439024,0.8213773314203728,0.18139809183036518,0.32549151403125526,0.3825952380952381,0.42857142857142855
1,20190324HHOB0,20190324,HH,OB,0,T,43,37,10,11,9,2,0,0,0,0,0,1,5,0,0,11,1,0,5,0.5,10,5,7,21,71,18,3,0,0,10,1,2,1,3,0,1,0,18,85,0.721,0.752,0.945,1.317,1.653,2.074,0.29577464788732394,0.3380281690140845,0.04225352112676056,0.3809523809523809,0.7189805499664654,0.1260129486610783,0.2607124852965888,0.3402705882352941,0.3818181818181817
2,20190326HHHT0,20190326,HH,HT,0,T,46,38,13,13,16,5,0,3,1,1,0,1,6,0,1,7,3,2,6,0.538461538,13,7,8,37,109,26,8,0,3,16,2,3,2,6,1,1,0,25,131,0.721,0.752,0.945,1.317,1.653,2.074,0.3394495412844037,0.4954128440366973,0.1559633027522936,0.4230769230769231,0.9184897671136204,0.4427466919277758,0.5695681398084357,0.4150229007633588,0.4047619047619048
3,20190327HHHT0,20190327,HH,HT,0,T,40,35,4,4,9,4,0,1,0,0,0,0,5,0,0,7,1,0,9,0.1,10,1,4,46,144,30,12,0,4,21,2,3,2,7,1,1,0,32,171,0.721,0.752,0.945,1.317,1.653,2.074,0.3194444444444444,0.4861111111111111,0.16666666666666669,0.4058823529411765,0.8919934640522875,0.1830662765424814,0.31204839522769284,0.4040643274853801,0.3783783783783784
4,20190328HHHT0,20190328,HH,HT,0,T,33,30,4,4,5,3,0,0,1,1,0,1,2,0,0,10,0,0,2,0.5,4,2,2,51,174,32,15,0,4,23,2,4,3,7,2,1,0,42,204,0.721,0.752,0.945,1.317,1.653,2.074,0.29310344827586204,0.4482758620689655,0.15517241379310348,0.374384236453202,0.8226600985221675,0.05618985289121313,0.164426146866073,0.3744019607843137,0.3560606060606061
5,20190329NCHH0,20190329,HH,NC,0,B,41,36,9,9,13,3,0,2,2,0,1,0,3,0,1,9,1,0,8,0.294117647,17,5,8,64,210,40,18,0,6,26,3,4,3,8,4,2,0,51,245,0.721,0.752,0.945,1.317,1.653,2.074,0.3047619047619048,0.4761904761904762,0.17142857142857135,0.382716049382716,0.8589065255731922,0.3129863684224677,0.4395059653839691,0.38755918367346937,0.3694267515923567
6,20190330NCHH0,20190330,HH,NC,0,B,47,33,11,13,9,3,0,1,2,0,1,0,12,0,1,4,0,0,10,0.461538462,13,6,5,73,243,45,21,0,7,38,4,4,3,8,6,3,0,55,292,0.721,0.752,0.945,1.317,1.653,2.074,0.3004115226337449,0.4732510288065844,0.1728395061728395,0.3979238754325259,0.8711749042391104,0.3042852996428299,0.45799025373886737,0.3941986301369863,0.3567567567567568
7,20190331NCHH0,20190331,HH,NC,0,B,40,33,3,3,9,1,0,1,0,0,0,1,4,0,2,11,1,0,10,0.0,10,0,7,82,276,52,22,0,8,42,6,5,3,9,6,3,0,66,332,0.721,0.752,0.945,1.317,1.653,2.074,0.2971014492753623,0.463768115942029,0.16666666666666669,0.3951367781155015,0.8589048940575306,0.17181361239347945,0.32036632498739714,0.39006024096385533,0.35748792270531393
8,20190402LGHH0,20190402,HH,LG,0,B,37,30,5,6,6,2,0,1,1,0,0,1,5,0,1,6,0,1,7,0.2,10,2,3,88,306,55,24,0,9,47,7,6,3,9,7,3,0,72,369,0.721,0.752,0.945,1.317,1.653,2.074,0.2875816993464052,0.4542483660130719,0.16666666666666669,0.3879781420765027,0.8422265080895746,0.14348795579089227,0.29137960006721564,0.3831978319783198,0.341991341991342
9,20190403LGHH0,20190403,HH,LG,0,B,36,30,0,0,5,1,0,0,0,0,0,0,5,0,1,10,0,2,9,0.333333333,6,2,4,93,336,59,25,0,9,52,8,6,3,9,7,3,0,82,405,0.721,0.752,0.945,1.317,1.653,2.074,0.2767857142857143,0.4315476190476191,0.15476190476190474,0.3805970149253731,0.8121446339729922,0.07486758280207799,0.19341287178625444,0.37247901234567893,0.3346613545816733
10,20190404LGHH0,20190404,HH,LG,0,B,38,30,2,2,6,0,0,0,2,0,1,0,6,2,1,9,1,1,10,0.125,8,1,6,99,366,65,25,0,9,58,9,6,3,10,9,4,2,91,443,0.721,0.752,0.945,1.317,1.653,2.074,0.2704918032786885,0.412568306010929,0.14207650273224046,0.37813211845102507,0.7907004244619541,0.09080405773313721,0.21727440766257777,0.3631746031746031,0.3308823529411765
11,20190405HHLT0,20190405,HH,LT,0,T,37,36,2,2,11,2,0,1,0,0,0,0,0,0,1,7,2,2,8,0.1,10,1,8,110,402,73,27,0,10,58,10,6,3,12,9,4,2,98,480,0.721,0.752,0.945,1.317,1.653,2.074,0.2736318407960199,0.4154228855721393,0.14179104477611942,0.3739495798319328,0.7893724654040721,0.14295827325141866,0.2666778692656696,0.3623012552301255,0.3333333333333333
12,20190406HHLT0,20190406,HH,LT,0,T,41,37,7,7,11,3,0,1,4,0,0,1,3,0,0,13,0,1,7,0.4166666670000001,12,5,7,121,439,80,30,0,11,61,10,7,3,12,13,4,2,111,521,0.721,0.752,0.945,1.317,1.653,2.074,0.275626423690205,0.4191343963553531,0.1435079726651481,0.3713733075435203,0.7905077038988735,0.22672218391654309,0.3755671315745253,0.3622023121387283,0.3395061728395062
13,20190407HHLT0,20190407,HH,LT,0,T,39,36,16,16,19,3,0,2,0,0,0,0,3,0,0,7,2,0,5,0.6,15,9,14,140,475,94,33,0,13,64,10,7,3,14,13,4,2,118,560,0.721,0.752,0.945,1.317,1.653,2.074,0.29473684210526313,0.4463157894736842,0.1515789473684211,0.3848920863309353,0.8312078758046195,0.48149785119416905,0.5422618047386993,0.37898745519713256,0.3618233618233618
14,20190410SKHH0,20190410,HH,SK,0,B,37,36,2,3,9,1,0,0,0,0,0,0,1,0,0,8,1,1,7,0.28571428600000004,7,2,8,149,511,102,34,0,13,65,10,7,3,15,13,4,2,126,597,0.721,0.752,0.945,1.317,1.653,2.074,0.29158512720156554,0.4344422700587084,0.14285714285714285,0.3777403035413153,0.8121825736000237,0.08093244787905154,0.18358259116114942,0.3715512605042016,0.3588390501319261
15,20190411SKHH0,20190411,HH,SK,0,B,31,31,0,0,5,0,0,0,1,0,0,0,0,0,0,8,1,1,4,0.0,1,0,5,154,542,107,34,0,13,65,10,7,3,16,14,4,2,134,628,0.721,0.752,0.945,1.317,1.653,2.074,0.2841328413284133,0.4188191881918819,0.13468634686346864,0.36698717948717946,0.7858063676790614,0.022679329110419477,0.0873802722231558,0.3606996805111821,0.35074626865671643
16,20190412HHWO0,20190412,HH,WO,0,T,33,32,3,3,9,2,0,1,0,0,0,0,1,0,0,7,4,0,3,0.2,5,1,6,163,574,113,36,0,14,66,10,7,3,20,14,4,2,141,661,0.721,0.752,0.945,1.317,1.653,2.074,0.2839721254355401,0.4198606271777003,0.13588850174216027,0.3637747336377473,0.7836353608154476,0.08410251762287124,0.2011426650983028,0.3594795144157815,0.34976525821596244
17,20190413HHWO0,20190413,HH,WO,0,T,39,36,3,3,12,1,1,0,1,0,1,0,2,0,0,7,2,1,9,0.14285714300000002,14,2,10,175,610,123,37,1,14,68,10,7,3,22,15,5,2,148,700,0.721,0.752,0.945,1.317,1.653,2.074,0.2868852459016393,0.41967213114754104,0.13278688524590165,0.3640287769784173,0.7837009081259583,0.16584870791882705,0.2889430347840699,0.3592535816618911,0.3538461538461539
18,20190414HHWO0,20190414,HH,WO,0,T,45,40,3,3,11,2,0,1,0,0,0,0,4,0,1,13,1,0,12,0.25,8,2,8,186,650,131,39,1,15,72,11,7,3,23,15,5,2,161,745,0.721,0.752,0.945,1.317,1.653,2.074,0.2861538461538461,0.4184615384615384,0.1323076923076923,0.3635135135135135,0.7819750519750519,0.1877753014524411,0.3222147538228869,0.35890040376850607,0.35550935550935553
19,20190416HHKT0,20190416,HH,KT,0,T,36,32,2,2,7,2,0,0,0,1,0,0,4,0,0,4,2,1,7,0.125,8,1,5,193,682,136,41,1,15,76,11,7,4,25,15,5,2,165,781,0.721,0.752,0.945,1.317,1.653,2.074,0.2829912023460411,0.4120234604105572,0.12903225806451613,0.3608247422680412,0.7728482026785984,0.0722907753368977,0.17358427155099987,0.3554634146341463,0.34970530451866405
20,20190417HHKT0,20190417,HH,KT,0,T,41,32,8,8,8,3,0,0,4,0,0,2,7,0,0,10,1,0,6,0.363636364,11,4,5,201,714,141,44,1,15,83,11,9,4,26,19,5,2,175,822,0.721,0.752,0.945,1.317,1.653,2.074,0.2815126050420168,0.4089635854341737,0.12745098039215685,0.36107711138310894,0.7700406968172826,0.17720074220165327,0.33876659384977326,0.3544256097560976,0.3489681050656661
21,20190418HHKT0,20190418,HH,KT,0,T,40,36,5,5,10,4,0,1,0,0,0,0,3,0,1,6,0,0,8,0.222222222,9,2,5,211,750,146,48,1,16,86,12,9,4,26,19,5,2,181,862,0.721,0.752,0.945,1.317,1.653,2.074,0.2813333333333333,0.41200000000000003,0.13066666666666665,0.3605600933488915,0.7725600933488914,0.2056532642319875,0.33464963871618225,0.35536162790697673,0.3469750889679715
22,20190419SSHH0,20190419,HH,SS,0,B,42,33,4,4,8,1,0,1,0,1,2,2,5,1,0,9,2,0,6,0.5,4,2,6,219,783,152,49,1,17,91,12,11,5,28,19,7,3,190,904,0.721,0.752,0.945,1.317,1.653,2.074,0.2796934865900383,0.4099616858237548,0.13026819923371652,0.35897435897435903,0.7689360447981137,0.11700382881720868,0.2681062006385482,0.3524483906770255,0.3441226575809199
23,20190420SSHH0,20190420,HH,SS,0,B,40,36,12,12,12,4,0,1,1,0,0,1,3,0,0,6,0,1,4,0.666666667,9,6,7,231,819,159,53,1,18,94,12,12,5,28,20,7,3,196,944,0.721,0.752,0.945,1.317,1.653,2.074,0.28205128205128205,0.4151404151404152,0.13308913308913312,0.35965848452508004,0.7747988996654952,0.2544365847153966,0.3930431860191565,0.3545972369819341,0.34521880064829824
24,20190421SSHH0,20190421,HH,SS,0,B,29,27,0,0,0,0,0,0,0,1,0,0,1,0,1,13,0,0,2,0.0,0,0,0,231,846,159,53,1,18,95,13,12,6,28,20,7,3,209,973,0.721,0.752,0.945,1.317,1.653,2.074,0.2730496453900709,0.4018912529550828,0.12884160756501184,0.35093167701863354,0.7528229299737164,0.0,0.0,0.3455144329896907,0.3375594294770206
25,20190424LTHH0,20190424,HH,LT,0,B,42,37,5,5,9,2,0,1,0,1,1,0,4,0,0,8,3,0,7,0.5,6,3,6,240,883,165,55,1,19,99,13,12,7,31,20,8,3,217,1015,0.721,0.752,0.945,1.317,1.653,2.074,0.2718006795016987,0.4009060022650057,0.12910532276330694,0.34955312810327704,0.7504591303682827,0.10832460206326147,0.22853301966056128,0.3442796442687747,0.3353566009104704
26,20190427HHNC0,20190427,HH,NC,0,T,37,30,0,1,4,0,0,0,0,0,0,0,6,0,1,7,2,0,9,0.0,6,0,4,244,913,169,55,1,19,105,14,12,7,33,20,8,3,224,1052,0.721,0.752,0.945,1.317,1.653,2.074,0.2672508214676889,0.39211391018619934,0.12486308871851046,0.3477011494252873,0.7398150596114867,0.045655590750104905,0.14358931272055123,0.34058055290753103,0.3299120234604105
