,G_ID,GDAY_DS,T_ID,VS_T_ID,HEADER_NO,TB_SC,CG_CK,WLS,HOLD,INN2,BF,PA,AB,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,WP,BK,ERR,R,ER,P_WHIP_RT,P2_WHIP_RT,CB_WHIP_RT,H1,CUM_ER,CUM_INN2,CUM_KK,CUM_BB,CUM_HIT,CUM_HR,CUM_AB,CUM_SF,CUM_HP,CUM_R,CUM_H1,CUM_H2,CUM_H3,cFIP,K/9,BB/9,K/BB,OAVG,OOBP,OSLG,OOPS,WHIP,BABIP,DICE,ERA,RA9,FIP,kFIP,HR/9,H/9
0,20200505HHSK0,20200505,SK,HH,0,B,0,L,0,27,115,35,31,8,3,0,0,0,1,2,0,2,0,0,5,1,0,0,0,3,3,1.5,1.2,1.333333333,5,3,27,5,2,8,0,31,0,0,3,5,3,0,3.599,0.39999999999999997,0.2,0.4545454545454546,0.25806451612903225,0.30303030303030304,0.3548387096774194,0.6578690127077225,0.4666666666666667,0.3076923076923077,0.0,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0,0.5675675675675675
1,20200505HHSK0,20200505,HH,SK,0,T,1,W,0,27,101,30,29,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0.0,0.0,0.75,2,0,27,2,1,2,0,29,0,0,0,2,0,0,3.599,0.0,0.0,0.31818181818181823,0.06896551724137931,0.1,0.06896551724137931,0.16896551724137931,0.0,0.07407407407407407,0.07894736842105254,0.0,0.0,0.07894736842105243,0.0,0.0,0.0
2,20200505LTKT0,20200505,KT,LT,0,B,0,L,0,27,154,37,32,7,1,0,2,0,0,0,1,4,0,0,9,1,0,0,0,7,7,3.0,1.285714286,1.875,4,7,27,9,4,7,2,32,1,0,7,4,1,0,3.599,0.9333333333333333,0.6000000000000001,0.38636363636363646,0.21875,0.2972972972972973,0.4375,0.7347972972972974,0.5333333333333334,0.2272727272727273,0.6315789473684209,0.6363636363636364,0.6363636363636364,0.631578947368421,0.75,0.6666666666666666,0.4729729729729729
3,20200505LTKT0,20200505,LT,KT,0,T,0,W,0,27,155,35,30,5,1,0,1,0,1,0,0,5,0,0,8,1,0,0,0,2,2,0.0,1.0,2.571428571,3,2,27,8,5,5,1,30,0,0,2,3,1,0,3.599,0.8,0.8,0.20909090909090913,0.16666666666666666,0.2857142857142857,0.3,0.5857142857142856,0.4666666666666667,0.19047619047619047,0.42105263157894723,0.18181818181818182,0.18181818181818182,0.42105263157894735,0.49999999999999956,0.3333333333333333,0.28378378378378377
4,20200505NCSS0,20200505,SS,NC,0,B,0,L,0,27,144,35,33,7,2,0,3,0,0,0,0,2,0,0,9,0,0,0,0,4,4,1.5,1.058823529,2.142857143,2,4,27,9,2,7,3,33,0,0,4,2,2,0,3.599,0.9333333333333333,0.2,1.0000000000000002,0.21212121212121213,0.2571428571428571,0.5454545454545454,0.8025974025974025,0.4,0.19047619047619047,0.8157894736842105,0.36363636363636365,0.36363636363636365,0.8157894736842106,0.9499999999999993,1.0,0.4729729729729729
5,20200505NCSS0,20200505,NC,SS,0,T,0,W,0,27,134,36,30,3,0,0,0,0,1,0,0,6,0,0,8,0,1,0,0,0,0,0.6,1.0,3.0,3,0,27,8,6,3,0,30,0,0,0,3,0,0,3.599,0.8,1.0000000000000002,0.13636363636363633,0.1,0.25,0.1,0.35,0.4,0.13636363636363635,0.1578947368421052,0.0,0.0,0.15789473684210498,0.22499999999999987,0.0,0.0945945945945946
6,20200505OBLG0,20200505,LG,OB,0,B,0,W,2,27,148,34,30,6,1,0,1,0,0,0,1,3,0,0,9,1,0,0,0,2,2,0.0,0.75,1.5,4,2,27,9,3,6,1,30,1,0,2,4,1,0,3.599,0.9333333333333333,0.4000000000000001,0.590909090909091,0.2,0.2647058823529412,0.3333333333333333,0.5980392156862745,0.4,0.2380952380952381,0.21052631578947367,0.18181818181818182,0.18181818181818182,0.21052631578947345,0.32499999999999996,0.3333333333333333,0.3783783783783784
7,20200505OBLG0,20200505,OB,LG,0,T,0,L,0,24,146,36,30,10,6,1,1,1,1,0,0,5,0,1,6,1,2,0,0,8,8,3.5,1.285714286,3.0,2,8,24,6,5,10,1,30,0,1,8,2,6,1,3.599,0.6333333333333333,0.925,0.1,0.3333333333333333,0.4444444444444444,0.7,1.1444444444444444,0.925,0.39130434782608703,0.6677631578947368,0.8181818181818182,0.8181818181818182,0.667763157894737,0.7062499999999998,0.375,0.8749999999999999
8,20200505WOHT0,20200505,HT,WO,0,B,0,L,0,27,186,44,38,12,3,0,2,0,0,0,0,6,0,0,5,1,0,0,0,11,11,7.0,2.142857143,3.428571429,7,11,27,5,6,12,2,38,0,0,11,7,3,0,3.599,0.39999999999999997,1.0000000000000002,0.0,0.3157894736842105,0.4090909090909091,0.5526315789473685,0.9617224880382776,1.0,0.3225806451612903,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.9459459459459459
9,20200505WOHT0,20200505,WO,HT,0,T,0,W,0,27,154,37,32,6,1,0,0,0,0,0,0,4,0,1,7,2,0,0,0,2,0,1.0,1.5,1.875,5,0,27,7,4,6,0,32,0,1,2,5,1,0,3.599,0.6666666666666667,0.6000000000000001,0.25,0.1875,0.2972972972972973,0.21875,0.5160472972972974,0.4666666666666667,0.24,0.13157894736842102,0.0,0.18181818181818182,0.1315789473684209,0.17499999999999982,0.0,0.3783783783783784
10,20200506HHSK0,20200506,SK,HH,0,B,0,W,1,27,138,35,31,5,1,0,1,0,0,0,0,4,0,0,5,1,1,0,0,2,2,1.2,0.333333333,1.875,3,5,54,10,6,13,1,62,0,0,5,8,4,0,3.599,0.39999999999999997,0.4000000000000001,0.22727272727272732,0.20967741935483872,0.2794117647058824,0.3225806451612903,0.6019924098671727,0.43333333333333335,0.2352941176470588,0.25,0.2272727272727273,0.2272727272727273,0.2499999999999999,0.24999999999999978,0.16666666666666666,0.42567567567567566
11,20200506HHSK0,20200506,HH,SK,0,T,0,L,0,24,144,37,33,9,3,0,2,3,0,1,0,3,0,0,8,0,2,0,0,5,5,1.2,2.625,1.5,4,5,51,10,4,11,2,62,0,0,5,6,3,0,3.599,0.43921568627450974,0.2235294117647058,0.4545454545454546,0.1774193548387097,0.2272727272727273,0.3225806451612903,0.5498533724340176,0.3294117647058824,0.18,0.35603715170278627,0.24064171122994657,0.24064171122994657,0.35603715170278627,0.37205882352941133,0.3529411764705882,0.36168521462639114
12,20200506LTKT0,20200506,KT,LT,0,B,0,L,0,27,153,41,36,12,2,0,1,1,1,0,3,1,0,1,6,0,2,0,0,9,9,0.75,1.5,0.461538462,9,16,54,15,5,19,3,68,4,1,16,13,3,0,3.599,0.7333333333333334,0.3,0.590909090909091,0.2794117647058824,0.3205128205128205,0.4558823529411765,0.7763951734539971,0.6,0.2962962962962963,0.46052631578947356,0.7272727272727273,0.7272727272727273,0.4605263157894737,0.5374999999999999,0.5,0.7094594594594594
13,20200506LTKT0,20200506,LT,KT,0,T,0,W,0,27,122,38,35,8,2,0,1,1,0,0,1,2,0,0,3,0,0,0,0,4,3,0.333333333,0.5,0.666666667,5,5,54,11,7,13,2,65,1,0,6,8,3,0,3.599,0.4666666666666666,0.5,0.20129870129870128,0.2,0.273972602739726,0.3384615384615385,0.6124341412012645,0.4666666666666667,0.2075471698113208,0.4342105263157895,0.2272727272727273,0.2727272727272727,0.4342105263157894,0.44999999999999996,0.3333333333333333,0.42567567567567566
