G_ID,GDAY_DS,T_ID,VS_T_ID,HEADER_NO,TB_SC,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN,H1,CUM_HIT,CUM_AB,CUM_H1,CUM_H2,CUM_H3,CUM_HR,CUM_BB,CUM_HP,CUM_SF,CUM_CS,CUM_GD,CUM_SB,CUM_SH,CUM_IB,CUM_KK,CUM_PA,wBB,wHBP,w1B,w2B,w3B,wHR,AVG,SLG,IsoP,OBP,OPS,RC,XR,wOBA,BABIP
20190323HHOB0,20190323,HH,OB,0,T,42,34,4,4,12,1,0,0,0,1,1,1,5,0,1,7,2,1,11,0.2,10,2,11,12,34,11,1,0,0,5,1,1,1,2,0,1,0,7,42,0.721,0.752,0.945,1.317,1.653,2.074,0.35294117647058826,0.38235294117647056,0.029411764705882304,0.43902439024390244,0.821377331420373,5.571428571428571,5.574,0.3825952380952381,0.42857142857142855
20190324HHOB0,20190324,HH,OB,0,T,43,37,10,11,9,2,0,0,0,0,0,1,5,0,0,11,1,0,5,0.5,10,5,7,21,71,18,3,0,0,10,1,2,1,3,0,1,0,18,85,0.721,0.752,0.945,1.317,1.653,2.074,0.29577464788732394,0.3380281690140845,0.04225352112676056,0.38095238095238093,0.7189805499664654,9.361882352941176,9.606,0.3402705882352941,0.38181818181818183
20190326HHHT0,20190326,HH,HT,0,T,46,38,13,13,16,5,0,3,1,1,0,1,6,0,1,7,3,2,6,0.538461538,13,7,8,37,109,26,8,0,3,16,2,3,2,6,1,1,0,25,131,0.721,0.752,0.945,1.317,1.653,2.074,0.3394495412844037,0.4954128440366973,0.1559633027522936,0.4230769230769231,0.9184897671136203,21.98595419847328,20.99,0.4150229007633588,0.40476190476190477
20190327HHHT0,20190327,HH,HT,0,T,40,35,4,4,9,4,0,1,0,0,0,0,5,0,0,7,1,0,9,0.1,10,1,4,46,144,30,12,0,4,21,2,3,2,7,1,1,0,32,171,0.721,0.752,0.945,1.317,1.653,2.074,0.3194444444444444,0.4861111111111111,0.16666666666666669,0.40588235294117647,0.8919934640522875,27.571929824561405,26.244,0.4040643274853801,0.3783783783783784
20190328HHHT0,20190328,HH,HT,0,T,33,30,4,4,5,3,0,0,1,1,0,1,2,0,0,10,0,0,2,0.5,4,2,2,51,174,32,15,0,4,23,2,4,3,7,2,1,0,42,204,0.721,0.752,0.945,1.317,1.653,2.074,0.29310344827586204,0.4482758620689655,0.15517241379310348,0.37438423645320196,0.8226600985221675,28.515882352941176,27.983999999999995,0.37440196078431365,0.3560606060606061
20190329NCHH0,20190329,HH,NC,0,B,41,36,9,9,13,3,0,2,2,0,1,0,3,0,1,9,1,0,8,0.294117647,17,5,8,64,210,40,18,0,6,26,3,4,3,8,4,2,0,51,245,0.721,0.752,0.945,1.317,1.653,2.074,0.3047619047619048,0.47619047619047616,0.17142857142857137,0.38271604938271603,0.8589065255731922,37.733387755102044,36.272,0.38755918367346937,0.36942675159235666
20190330NCHH0,20190330,HH,NC,0,B,47,33,11,13,9,3,0,1,2,0,1,0,12,0,1,4,0,0,10,0.46153846200000004,13,6,5,73,243,45,21,0,7,38,4,4,3,8,6,3,0,55,292,0.721,0.752,0.945,1.317,1.653,2.074,0.3004115226337449,0.4732510288065844,0.1728395061728395,0.39792387543252594,0.8711749042391104,47.255890410958905,44.999999999999986,0.3941986301369863,0.3567567567567568
20190331NCHH0,20190331,HH,NC,0,B,40,33,3,3,9,1,0,1,0,0,0,1,4,0,2,11,1,0,10,0.0,10,0,7,82,276,52,22,0,8,42,6,5,3,9,6,3,0,66,332,0.721,0.752,0.945,1.317,1.653,2.074,0.2971014492753623,0.463768115942029,0.16666666666666669,0.3951367781155015,0.8589048940575306,52.51710843373494,50.45200000000001,0.39006024096385544,0.357487922705314
20190402LGHH0,20190402,HH,LG,0,B,37,30,5,6,6,2,0,1,1,0,0,1,5,0,1,6,0,1,7,0.2,10,2,3,88,306,55,24,0,9,47,7,6,3,9,7,3,0,72,369,0.721,0.752,0.945,1.317,1.653,2.074,0.2875816993464052,0.4542483660130719,0.16666666666666669,0.3879781420765027,0.8422265080895746,56.84769647696477,55.21400000000002,0.3831978319783198,0.341991341991342
20190403LGHH0,20190403,HH,LG,0,B,36,30,0,0,5,1,0,0,0,0,0,0,5,0,1,10,0,2,9,0.333333333,6,2,4,93,336,59,25,0,9,52,8,6,3,9,7,3,0,82,405,0.721,0.752,0.945,1.317,1.653,2.074,0.2767857142857143,0.43154761904761907,0.15476190476190477,0.3805970149253731,0.8121446339729922,58.80918518518518,57.64400000000001,0.372479012345679,0.3346613545816733
