G_ID,GDAY_DS,T_ID,VS_T_ID,HEADER_NO,TB_SC,P_ID,START_CK,RELIEF_CK,CG_CK,QUIT_CK,WLS,HOLD,INN2,BF,PA,AB,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,WP,BK,ERR,R,ER,P_WHIP_RT,P2_WHIP_RT,CB_WHIP_RT,H1,CUM_HIT,CUM_AB,CUM_H1,CUM_H2,CUM_H3,CUM_HR,CUM_BB,CUM_HP,CUM_SF,CUM_CS,CUM_GD,CUM_SB,CUM_SH,CUM_IB,CUM_KK,CUM_PA,wBB,wHBP,w1B,w2B,w3B,wHR,AVG,SLG,IsoP,OBP,OPS,RC,XR,wOBA,BABIP
20190323HHOB0,20190323,HH,OB,0,T,60768,0,1,0,1, ,0,1,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0, ,0,1,1.0,0.0,1.0,1,0,4,1,0,0,60768,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.0,60768.25,60768.25,0,0,0,0,0,0
20190323HHOB0,20190323,OB,HH,0,B,62242,0,1,0,0, ,0,2,8,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,2,0.0,0.0,1.0,2,0,8,2,0,0,62242,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.0,31121.25,31121.25,0,0,0,0,0,0
20190323HHOB0,20190323,OB,HH,0,B,63248,0,1,0,1,S,0,2,15,4,2,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,S ,0,4,0.0,0.0,2.0,6,0,23,4,0,0,125490,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.0,21824.521739130436,21824.521739130436,0,0,0,0,0,0
20190323HHOB0,20190323,OB,HH,0,B,65543,1,0,0,0, ,0,17,93,27,24,9,1,0,0,0,1,0,0,2,0,1,5,1,1,5, S ,0,21,1.0,0.0,11.0,33,1,116,28,0,0,191033,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.008620689655172414,6587.586206896552,6587.577586206897,0,0,0,0,0,0
20190323HHOB0,20190323,HH,OB,0,T,65769,0,1,0,0,L,0,0,8,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,L ,0,1,1.0,0.0,1.0,3,0,12,1,0,0,126537,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.0,42179.083333333336,42179.083333333336,0,0,0,0,0,0
20190323HHOB0,20190323,OB,HH,0,B,67266,0,1,0,0,W,0,2,13,4,3,1,0,0,0,0,0,0,0,1,0,0,2,1,1,7,W S ,0,23,1.0,0.0,12.0,37,1,129,31,0,0,258299,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.007751937984496124,8009.511627906977,8009.503875968992,0,0,0,0,0,0
20190323HHOB0,20190323,HH,OB,0,T,67703,0,1,0,0, ,0,4,11,4,4,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2, L ,0,5,1.0,0.0,1.0,7,0,23,5,0,0,194240,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.0,33781.086956521736,33781.086956521736,0,0,0,0,0,0
20190323HHOB0,20190323,HH,OB,0,T,69744,1,0,0,0, ,0,17,104,24,21,5,0,0,1,0,0,0,0,3,0,0,1,1,1,3,  L ,0,22,1.0,1.0,6.0,31,0,127,26,0,0,263984,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.0,8314.661417322835,8314.661417322835,0,0,0,0,0,0
20190323HHOB0,20190323,OB,HH,0,B,73248,0,1,0,0, ,0,2,17,3,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,7, W S ,0,25,1.0,0.0,12.0,40,1,146,33,0,0,331547,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.00684931506849315,9083.705479452055,9083.698630136987,0,0,0,0,0,0
20190323HHOB0,20190323,HH,OB,0,T,73801,0,1,0,0, ,0,2,11,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,   L ,0,24,1.0,1.0,6.0,33,0,138,28,0,0,337785,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.0,9791.072463768116,9791.072463768116,0,0,0,0,0,0
20190323HHOB0,20190323,OB,HH,0,B,76329,0,1,0,0, ,1,2,5,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,7,  W S ,1,27,1.0,0.0,12.0,42,1,151,34,0,0,407876,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.006622516556291391,10804.887417218542,10804.880794701987,0,0,0,0,0,0
20190323KTSK0,20190323,KT,SK,0,T,65056,0,1,0,0, ,0,1,18,3,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0, ,0,1,0.0,1.0,1.0,3,0,18,2,0,0,65056,0,0,0,0,0,0,0,0,0,0,0.721,0.752,0.945,1.317,1.653,2.074,0.0,14457.0,14457.0,0,0,0,0,0,0
