G_ID,GDAY_DS,T_ID,VS_T_ID,HEADER_NO,TB_SC,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN,H1,CUM_HIT,CUM_AB,CUM_H1,CUM_H2,CUM_H3,CUM_HR,CUM_BB,CUM_HP,CUM_SF,CUM_CS,CUM_GD,CUM_SB,CUM_SH,CUM_IB,CUM_KK,CUM_PA,wBB,wHBP,w1B,w2B,w3B,wHR,AVG,SLG,IsoP,OBP,OPS,RC,XR,wOBA,BABIP
20180324HHWO0,20180324,HH,WO,0,T,38,37,2,3,13,0,1,0,1,0,0,0,1,0,0,9,0,1,8,0.23076923100000002,13,3,12,13,37,12,0,1,0,1,0,0,0,0,1,0,0,9,38,0.726,0.753,0.92,1.242,1.5330000000000001,1.857,0.35135135135135137,0.40540540540540543,0.05405405405405406,0.3684210526315789,0.7738264580369844,5.813684210526316,5.328,0.3499736842105263,0.4642857142857143
20180325HHWO0,20180325,HH,WO,0,T,39,36,4,4,11,3,0,1,2,1,0,0,1,0,2,9,1,0,8,0.272727273,11,3,7,24,73,19,3,1,1,2,2,0,1,1,3,0,0,18,77,0.726,0.753,0.92,1.242,1.5330000000000001,1.857,0.3287671232876712,0.4383561643835616,0.1095890410958904,0.36363636363636365,0.8019925280199253,5.7907692307692304,5.467999999999999,0.35784415584415585,0.42592592592592593
20180327HHNC0,20180327,HH,NC,0,T,41,34,6,6,10,0,0,2,0,0,0,0,5,0,2,6,2,1,8,0.4,5,2,8,34,107,27,3,1,3,7,4,0,1,3,3,0,0,24,118,0.726,0.753,0.92,1.242,1.5330000000000001,1.857,0.3177570093457944,0.4485981308411215,0.13084112149532712,0.3813559322033898,0.8299540630445112,6.519512195121951,6.311999999999999,0.37088135593220334,0.3875
20180328HHNC0,20180328,HH,NC,0,T,41,37,6,6,10,1,0,1,3,0,0,0,4,0,0,5,0,0,8,0.5,8,4,8,44,144,35,4,1,4,11,4,0,1,3,6,0,0,29,159,0.726,0.753,0.92,1.242,1.5330000000000001,1.857,0.3055555555555556,0.4305555555555556,0.125,0.3710691823899371,0.8016247379454926,5.66829268292683,5.59,0.3592893081761006,0.36036036036036034
20180329HHNC0,20180329,HH,NC,0,T,35,33,1,1,6,2,0,0,0,0,0,0,2,0,0,4,1,2,7,0.166666667,6,1,4,50,177,39,6,1,4,13,4,0,1,4,6,0,0,33,194,0.726,0.753,0.92,1.242,1.5330000000000001,1.857,0.2824858757062147,0.3954802259887006,0.11299435028248589,0.34536082474226804,0.7408410507309686,1.704,1.2880000000000003,0.3337268041237113,0.32857142857142857
20180330SKHH0,20180330,HH,SK,0,B,36,34,3,4,9,1,0,1,0,3,0,0,2,0,0,9,0,1,5,0.1,10,1,7,59,211,46,7,1,5,15,4,0,4,4,6,0,0,42,230,0.726,0.753,0.92,1.242,1.5330000000000001,1.857,0.2796208530805687,0.3933649289099526,0.1137440758293839,0.3391304347826087,0.7324953636925613,3.0044444444444443,3.058,0.3292782608695652,0.32926829268292684
20180331SKHH0,20180331,HH,SK,0,B,37,33,1,1,8,1,1,1,0,0,0,0,3,0,1,10,2,1,9,0.0,8,0,5,67,244,51,8,2,6,18,5,0,4,6,6,0,0,52,267,0.726,0.753,0.92,1.242,1.5330000000000001,1.857,0.27459016393442626,0.3975409836065574,0.12295081967213112,0.33707865168539325,0.7346196352919506,4.064864864864864,3.99,0.3292022471910112,0.3279569892473118
20180401SKHH0,20180401,HH,SK,0,B,31,31,1,1,4,0,0,1,0,0,0,0,0,0,0,10,0,1,3,0.0,1,0,3,71,275,54,8,2,7,18,5,0,4,6,6,0,0,62,298,0.726,0.753,0.92,1.242,1.5330000000000001,1.857,0.2581818181818182,0.3781818181818182,0.12,0.31543624161073824,0.6936180597925564,0.9032258064516129,0.42999999999999994,0.31044966442953026,0.3106796116504854
20180403LTHH0,20180403,HH,LT,0,B,46,33,14,17,11,3,0,2,2,0,1,3,8,1,1,5,0,2,5,0.5,12,6,6,82,308,60,11,2,9,26,6,3,4,6,8,1,1,67,344,0.726,0.753,0.92,1.242,1.5330000000000001,1.857,0.2662337662337662,0.4025974025974026,0.1363636363636364,0.3323615160349854,0.734958918632388,10.956521739130435,10.499999999999998,0.32451603498542275,0.31063829787234043
20180404LTHH0,20180404,HH,LT,0,B,39,31,5,7,10,2,1,0,0,1,0,0,6,0,2,10,3,1,8,0.3,10,3,7,92,339,67,13,3,9,32,8,3,5,9,8,1,1,77,383,0.726,0.753,0.92,1.242,1.5330000000000001,1.857,0.2713864306784661,0.40707964601769914,0.13569321533923306,0.34554973821989526,0.7526293842375944,5.772307692307692,5.299999999999999,0.33410471204188485,0.32421875
20180407HHKT0,20180407,HH,KT,0,T,36,35,1,2,8,2,1,0,1,0,0,0,1,0,0,10,1,1,7,0.222222222,9,2,5,100,374,72,15,4,9,33,8,3,5,10,9,1,1,87,419,0.726,0.753,0.92,1.242,1.5330000000000001,1.857,0.26737967914438504,0.40106951871657753,0.1336898395721925,0.3373205741626794,0.7383900928792569,2.84,2.6199999999999997,0.3276818181818182,0.3238434163701068
20180408HHKT0,20180408,HH,KT,0,T,49,41,10,12,14,2,0,1,2,1,0,1,7,1,0,12,1,0,7,0.4,10,4,11,114,415,83,17,4,10,40,8,4,6,11,11,1,2,99,468,0.726,0.753,0.92,1.242,1.5330000000000001,1.857,0.2746987951807229,0.4072289156626506,0.13253012048192775,0.3468950749464668,0.7541239906091175,8.577142857142857,8.183999999999997,0.3343090128755365,0.33548387096774196
20180410HTHH0,20180410,HH,HT,0,B,36,30,4,4,7,0,0,2,1,0,0,0,4,0,2,8,0,0,8,0.0,5,0,5,121,445,88,17,4,12,44,10,4,6,11,12,1,2,107,504,0.726,0.753,0.92,1.242,1.5330000000000001,1.857,0.27191011235955054,0.40898876404494383,0.1370786516853933,0.34791252485089463,0.7569012888958384,5.445555555555555,5.466,0.3356812749003984,0.3303030303030303
20180411HTHH0,20180411,HH,HT,0,B,37,31,6,6,11,1,0,0,2,1,0,1,3,0,2,3,0,1,7,0.41666666700000005,12,5,10,132,476,98,18,4,12,47,12,5,7,11,14,1,2,110,541,0.726,0.753,0.92,1.242,1.5330000000000001,1.857,0.2773109243697479,0.40756302521008403,0.13025210084033612,0.3537037037037037,0.7612667289137878,6.024324324324325,6.005999999999999,0.3388460111317254,0.3342618384401114
20180412HTHH0,20180412,HH,HT,0,B,44,40,15,15,17,6,0,2,0,0,0,0,3,0,1,7,1,0,5,0.5,18,9,9,149,516,107,24,4,14,50,13,5,7,12,14,1,2,117,585,0.726,0.753,0.92,1.242,1.5330000000000001,1.857,0.28875968992248063,0.4321705426356589,0.14341085271317827,0.363013698630137,0.7951842412657959,13.654545454545454,10.564,0.3516552315608919,0.34615384615384615
20180413SSHH0,20180413,HH,SS,0,B,35,32,2,2,5,1,0,0,0,0,0,0,3,0,0,6,0,3,6,0.25,8,2,4,154,548,111,25,4,14,53,13,5,7,12,14,1,2,123,620,0.726,0.753,0.92,1.242,1.5330000000000001,1.857,0.28102189781021897,0.41788321167883213,0.13686131386861317,0.3554119547657512,0.7732951664445833,1.5497142857142858,1.2619999999999998,0.34322815533980583,0.33653846153846156
20180414SSHH0,20180414,HH,SS,0,B,45,42,14,14,17,3,0,4,0,0,0,0,2,0,1,7,0,0,7,0.46666666700000003,15,7,10,171,590,121,28,4,18,55,14,5,7,12,14,1,2,130,665,0.726,0.753,0.92,1.242,1.5330000000000001,1.857,0.28983050847457625,0.4423728813559322,0.15254237288135597,0.3614457831325301,0.8038186644884624,14.568888888888889,11.634,0.35395776772247356,0.3422818791946309
20180415SSHH0,20180415,HH,SS,0,B,40,32,6,7,10,0,0,0,1,1,0,1,6,0,1,4,1,0,9,0.26666666699999997,15,4,10,181,622,131,28,4,18,61,15,6,8,13,15,1,2,134,705,0.726,0.753,0.92,1.242,1.5330000000000001,1.857,0.2909967845659164,0.43569131832797425,0.14469453376205788,0.3650568181818182,0.8007481365097924,4.8225,5.228,0.35417211948790894,0.34243697478991597
