G_ID,GDAY_DS,T_ID,VS_T_ID,HEADER_NO,TB_SC,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN,H1,wBB,wHBP,w1B,w2B,w3B,wHR,AVG,SLG,IsoP,OBP,OPS,RC,XR,wOBA,BABIP
20180324HHWO0,20180324,WO,HH,0,B,41,37,5,6,12,3,0,1,2,0,0,0,4,0,0,10,0,0,11,0.235294118,17,4,8,0.726,0.753,0.92,1.242,1.5330000000000001,1.857,0.32432432432432434,0.4864864864864865,0.16216216216216217,0.3902439024390244,0.8767303889255109,7.836097560975609,6.989999999999998,0.3865121951219512,0.4230769230769231
20180324HHWO0,20180324,HH,WO,0,T,38,37,2,3,13,0,1,0,1,0,0,0,1,0,0,9,0,1,8,0.23076923100000002,13,3,12,0.726,0.753,0.92,1.242,1.5330000000000001,1.857,0.35135135135135137,0.40540540540540543,0.05405405405405406,0.3684210526315789,0.7738264580369844,5.813684210526316,5.328,0.3499736842105263,0.4642857142857143
20180324KTHT0,20180324,HT,KT,0,B,43,36,4,4,12,2,0,0,0,0,2,1,2,0,2,8,0,0,12,0.272727273,11,3,10,0.726,0.753,0.92,1.242,1.5330000000000001,1.857,0.3333333333333333,0.3888888888888889,0.05555555555555558,0.3902439024390244,0.7791327913279134,6.176744186046512,6.026,0.34051162790697675,0.41379310344827586
20180324KTHT0,20180324,KT,HT,0,T,38,37,5,5,11,1,0,3,0,0,0,0,1,0,0,9,0,0,6,0.4,5,2,7,0.726,0.753,0.92,1.242,1.5330000000000001,1.857,0.2972972972972973,0.5675675675675675,0.27027027027027023,0.3157894736842105,0.883357041251778,6.713684210526316,6.467999999999999,0.3678684210526316,0.32
20180324LGNC0,20180324,NC,LG,0,B,35,30,4,4,9,2,0,1,1,1,0,1,4,0,0,9,0,0,7,0.166666667,6,1,6,0.726,0.753,0.92,1.242,1.5330000000000001,1.857,0.3,0.4666666666666667,0.16666666666666669,0.37142857142857144,0.8380952380952381,5.5131428571428565,5.507999999999999,0.36471428571428566,0.38095238095238093
20180324LGNC0,20180324,LG,NC,0,T,32,30,2,2,7,0,0,1,1,0,0,1,1,0,0,9,1,0,3,0.0,4,0,6,0.726,0.753,0.92,1.242,1.5330000000000001,1.857,0.23333333333333334,0.3333333333333333,0.09999999999999998,0.25,0.5833333333333333,2.471875,2.817999999999999,0.25321875,0.2857142857142857
20180324LTSK0,20180324,SK,LT,0,B,40,32,6,6,8,1,0,1,2,1,0,1,7,0,0,10,0,3,10,0.25,8,2,6,0.726,0.753,0.92,1.242,1.5330000000000001,1.857,0.25,0.375,0.125,0.375,0.75,5.383000000000001,5.710000000000002,0.342525,0.3181818181818182
20180324LTSK0,20180324,LT,SK,0,T,39,33,3,5,7,2,0,0,2,0,0,0,6,0,0,12,0,2,7,0.2,10,2,5,0.726,0.753,0.92,1.242,1.5330000000000001,1.857,0.21212121212121213,0.2727272727272727,0.06060606060606058,0.3333333333333333,0.606060606060606,3.8666666666666663,3.904000000000001,0.29333333333333333,0.3333333333333333
20180324SSOB0,20180324,OB,SS,0,B,32,32,2,3,6,2,0,1,0,0,0,0,0,0,0,4,1,0,2,0.5,4,2,3,0.726,0.753,0.92,1.242,1.5330000000000001,1.857,0.1875,0.34375,0.15625,0.1875,0.53125,1.71875,1.638,0.22190625,0.18518518518518517
20180324SSOB0,20180324,SS,OB,0,T,43,37,6,6,13,4,0,0,0,0,1,0,4,0,1,9,0,1,10,0.363636364,11,4,9,0.726,0.753,0.92,1.242,1.5330000000000001,1.857,0.35135135135135137,0.4594594594594595,0.10810810810810811,0.42857142857142855,0.888030888030888,7.87813953488372,6.888000000000001,0.39313953488372094,0.4642857142857143
20180325HHWO0,20180325,WO,HH,0,B,33,31,1,1,5,1,0,1,0,0,0,0,1,0,1,11,0,0,5,0.0,3,0,3,0.726,0.753,0.92,1.242,1.5330000000000001,1.857,0.16129032258064516,0.2903225806451613,0.12903225806451615,0.21212121212121213,0.5024437927663734,2.0193939393939395,1.9120000000000001,0.2223636363636364,0.21052631578947367
20180325HHWO0,20180325,HH,WO,0,T,39,36,4,4,11,3,0,1,2,1,0,0,1,0,2,9,1,0,8,0.272727273,11,3,7,0.726,0.753,0.92,1.242,1.5330000000000001,1.857,0.3055555555555556,0.4722222222222222,0.16666666666666663,0.358974358974359,0.8311965811965811,5.7907692307692304,5.467999999999999,0.36551282051282047,0.38461538461538464
20180325KTHT0,20180325,HT,KT,0,B,44,39,14,14,16,2,0,4,1,0,0,1,3,0,1,8,0,0,6,0.5,10,5,10,0.726,0.753,0.92,1.242,1.5330000000000001,1.857,0.41025641025641024,0.7692307692307693,0.35897435897435903,0.45454545454545453,1.2237762237762237,14.58181818181818,11.975999999999997,0.5009772727272727,0.42857142857142855
20180325KTHT0,20180325,KT,HT,0,T,33,33,1,1,7,1,0,1,0,0,0,0,0,0,0,8,1,0,5,0.0,4,0,5,0.726,0.753,0.92,1.242,1.5330000000000001,1.857,0.21212121212121213,0.3333333333333333,0.12121212121212119,0.21212121212121213,0.5454545454545454,2.0,1.8860000000000001,0.23330303030303032,0.25
20180325LGNC0,20180325,NC,LG,0,B,41,30,5,7,8,1,0,0,2,0,0,2,5,0,4,5,2,0,10,0.2,10,2,7,0.726,0.753,0.92,1.242,1.5330000000000001,1.857,0.26666666666666666,0.3,0.033333333333333326,0.4146341463414634,0.7146341463414634,4.909756097560976,5.619999999999999,0.3493658536585366,0.2962962962962963
