G_ID,GDAY_DS,T_ID,VS_T_ID,HEADER_NO,TB_SC,CG_CK,WLS,HOLD,INN2,BF,PA,AB,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,WP,BK,ERR,R,ER,P_WHIP_RT,P2_WHIP_RT,CB_WHIP_RT,H1,CUM_ER,CUM_INN2,CUM_KK,CUM_BB,CUM_HIT,CUM_HR,CUM_AB,CUM_SF,CUM_HP,CUM_R,CUM_H1,CUM_H2,CUM_H3,cFIP,K/9,BB/9,K/BB,OAVG,OOBP,OSLG,OOPS,WHIP,BABIP,DICE,ERA,RA9,FIP,kFIP,HR/9,H/9
20170331HHOB0,20170331,OB,HH,0,B,0,W,0,27,129,33,29,4,0,0,0,0,1,1,0,3,0,0,8,0,1,0,0,0,0,0.6,0.857142857,1.2,4,0,27,8,3,4,0,29,0,0,0,4,0,0,3.735,8.0,3.0,2.6666666666666665,0.13793103448275862,0.21875,0.13793103448275862,0.3566810344827586,0.7777777777777778,0.19047619047619047,2.2222222222222223,0.0,0.0,2.957222222222222,3.846111111111111,0.0,4.0
20170331HHOB0,20170331,HH,OB,0,T,0,L,0,24,134,33,27,4,1,0,0,3,0,0,2,2,0,2,8,0,0,0,0,3,1,0.6,0.45,0.272727273,3,1,24,8,2,4,0,27,2,2,3,3,1,0,3.735,9.0,2.25,4.0,0.14814814814814814,0.24242424242424243,0.18518518518518517,0.4276094276094276,0.75,0.19047619047619047,2.5,1.125,3.375,3.235,4.234999999999999,0.0,4.5
20170331HTSS0,20170331,SS,HT,0,B,0,L,0,27,180,42,34,7,1,1,3,0,1,0,0,8,0,0,5,0,1,0,0,7,6,2.0,1.363636364,3.428571429,2,6,27,5,8,7,3,34,0,0,7,2,1,1,3.735,5.0,8.0,0.625,0.20588235294117646,0.35714285714285715,0.5588235294117647,0.9159663865546219,1.6666666666666667,0.15384615384615385,8.88888888888889,6.0,7.0,9.623888888888889,10.512777777777778,3.0,7.0
20170331HTSS0,20170331,HT,SS,0,T,0,W,0,27,115,33,31,7,1,0,2,0,0,1,0,1,0,0,7,1,1,0,0,2,2,0.0,0.857142857,1.333333333,4,2,27,7,1,7,2,31,0,0,2,4,1,0,3.735,7.0,1.0,7.0,0.22580645161290322,0.25,0.45161290322580644,0.7016129032258065,0.8888888888888888,0.22727272727272727,4.666666666666667,2.0,2.0,5.401666666666666,6.401666666666666,2.0,7.0
20170331KTSK0,20170331,SK,KT,0,B,0,L,0,27,139,37,35,9,2,0,1,0,1,0,0,2,1,0,8,1,0,0,1,3,2,1.2,1.222222222,0.818181818,6,2,27,8,2,9,1,35,0,0,3,6,2,0,3.735,8.0,2.0,4.0,0.2571428571428571,0.2972972972972973,0.4,0.6972972972972973,1.2222222222222223,0.3076923076923077,3.3333333333333335,2.0,3.0,4.068333333333333,5.068333333333333,1.0,9.0
20170331KTSK0,20170331,KT,SK,0,T,0,W,2,27,130,36,33,8,1,0,0,1,0,1,0,0,0,1,8,1,0,0,0,2,2,1.5,0.8888888890000001,0.272727273,7,2,27,8,0,8,0,33,0,1,2,7,1,0,3.735,8.0,0.0,0.0,0.24242424242424243,0.2647058823529412,0.2727272727272727,0.5374331550802138,0.8888888888888888,0.32,1.5555555555555556,2.0,2.0,2.2905555555555557,3.179444444444444,0.0,8.0
20170331LGWO0,20170331,WO,LG,0,B,0,L,0,27,151,34,31,4,0,0,1,0,0,0,0,3,0,0,10,1,0,0,0,2,1,0.0,0.7777777779999999,1.0,3,1,27,10,3,4,1,31,0,0,2,3,0,0,3.735,10.0,3.0,3.3333333333333335,0.12903225806451613,0.20588235294117646,0.22580645161290322,0.43168880455407965,0.7777777777777778,0.15,3.2222222222222223,1.0,2.0,3.957222222222222,5.179444444444444,1.0,4.0
20170331LGWO0,20170331,LG,WO,0,T,0,W,3,27,122,34,30,5,2,1,0,0,0,0,0,4,0,0,6,2,2,0,1,1,1,1.125,1.0,0.818181818,2,1,27,6,4,5,0,30,0,0,1,2,2,1,3.735,6.0,4.0,1.5,0.16666666666666666,0.2647058823529412,0.3,0.5647058823529412,1.0,0.20833333333333334,3.0,1.0,1.0,3.735,4.401666666666666,0.0,5.0
20170331LTNC0,20170331,NC,LT,0,B,0,W,1,27,133,34,33,7,2,0,1,0,1,0,0,0,0,1,8,0,1,0,0,5,3,3.0,0.46153846200000004,1.0,4,3,27,8,0,7,1,33,0,1,5,4,2,0,3.735,8.0,0.0,0.0,0.21212121212121213,0.23529411764705882,0.36363636363636365,0.5989304812834224,0.7777777777777778,0.25,3.0,3.0,5.0,3.735,4.734999999999999,1.0,7.0
20170331LTNC0,20170331,LT,NC,0,T,0,L,0,24,160,38,32,11,5,0,1,2,2,0,0,4,0,2,9,0,0,0,0,6,5,2.0,1.772727273,3.6,5,5,24,9,4,11,1,32,0,2,6,5,5,0,3.735,10.125,4.5,2.25,0.34375,0.4473684210526316,0.59375,1.0411184210526316,1.875,0.45454545454545453,4.625,5.625,6.75,5.359999999999999,6.609999999999999,1.125,12.375
20170401HHOB0,20170401,OB,HH,0,B,0,L,0,33,198,54,44,16,2,0,1,0,0,4,0,6,1,0,8,0,2,0,0,6,6,1.263157895,2.0,1.9090909090000001,13,6,60,16,9,20,1,73,0,0,6,17,2,0,3.735,7.2,4.05,1.7777777777777777,0.273972602739726,0.35365853658536583,0.3424657534246575,0.6961242900100233,1.45,0.3392857142857143,3.4,2.7,2.7,4.135,4.984999999999999,0.45,9.0
