G_ID,GDAY_DS,T_ID,VS_T_ID,HEADER_NO,TB_SC,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN
20200505HHSK0,20200505,SK,HH,0,B,30,29,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,3,0,1,0
20200505HHSK0,20200505,HH,SK,0,T,35,31,3,3,8,3,0,0,0,1,2,0,2,0,0,5,1,0,5,0.25,8,2
20200505LTKT0,20200505,KT,LT,0,B,35,30,2,2,5,1,0,1,0,1,0,0,5,0,0,8,1,0,6,0,4,0
20200505LTKT0,20200505,LT,KT,0,T,37,32,7,7,7,1,0,2,0,0,0,1,4,0,0,9,1,1,3,0.666666667,3,2
20200505NCSS0,20200505,SS,NC,0,B,36,30,0,0,3,0,0,0,0,1,0,0,6,0,0,8,0,0,9,0,5,0
20200505NCSS0,20200505,NC,SS,0,T,35,33,4,4,7,2,0,3,0,0,0,0,2,0,0,9,0,1,4,0.333333333,3,1
20200505OBLG0,20200505,LG,OB,0,B,36,30,6,8,10,6,1,1,1,1,0,0,5,0,1,6,1,0,4,0.5,8,4
20200505OBLG0,20200505,OB,LG,0,T,34,30,2,2,6,1,0,1,0,0,0,1,3,0,0,9,1,0,5,0,2,0
20200505WOHT0,20200505,HT,WO,0,B,37,32,2,2,6,1,0,0,0,0,0,0,4,0,1,7,2,0,8,0.2,10,2
20200505WOHT0,20200505,WO,HT,0,T,44,38,11,11,12,3,0,2,0,0,0,0,6,0,0,5,1,1,6,0.666666667,9,6
20200506HHSK0,20200506,SK,HH,0,B,37,33,5,5,9,3,0,2,3,0,1,0,3,0,0,8,0,0,8,0.166666667,12,2
20200506HHSK0,20200506,HH,SK,0,T,35,31,2,2,5,1,0,1,0,0,0,0,4,0,0,5,1,2,6,0.166666667,6,1
