,G_ID,GDAY_DS,VISIT_KEY,HOME_KEY,HEADER_NO,GWEEK,STADIUM
0,20160401HHLG0,20160401,HH,LG,0,금,잠실
1,20160401HTNC0,20160401,HT,NC,0,금,마산
2,20160401KTSK0,20160401,KT,SK,0,금,문학
3,20160401LTWO0,20160401,LT,WO,0,금,고척
4,20160401OBSS0,20160401,OB,SS,0,금,대구
5,20160402HHLG0,20160402,HH,LG,0,토,잠실
6,20160402HTNC0,20160402,HT,NC,0,토,마산
7,20160402KTSK0,20160402,KT,SK,0,토,문학
8,20160402LTWO0,20160402,LT,WO,0,토,고척
9,20160402OBSS0,20160402,OB,SS,0,토,대구
10,20160403KTSK0,20160403,KT,SK,0,일,문학
11,20160403LTWO0,20160403,LT,WO,0,일,고척
12,20160405LGHT0,20160405,LG,HT,0,화,광주
13,20160405NCOB0,20160405,NC,OB,0,화,잠실
14,20160405SKLT0,20160405,SK,LT,0,화,사직
15,20160405SSKT0,20160405,SS,KT,0,화,수원
16,20160405WOHH0,20160405,WO,HH,0,화,대전
17,20160406NCOB0,20160406,NC,OB,0,수,잠실
18,20160406SKLT0,20160406,SK,LT,0,수,사직
19,20160406SSKT0,20160406,SS,KT,0,수,수원
20,20160406WOHH0,20160406,WO,HH,0,수,대전
21,20160407LGHT0,20160407,LG,HT,0,목,광주
22,20160407NCOB0,20160407,NC,OB,0,목,잠실
23,20160407SKLT0,20160407,SK,LT,0,목,사직
24,20160407SSKT0,20160407,SS,KT,0,목,수원
25,20160407WOHH0,20160407,WO,HH,0,목,대전
26,20160408HHNC0,20160408,HH,NC,0,금,마산
27,20160408HTKT0,20160408,HT,KT,0,금,수원
28,20160408LGSK0,20160408,LG,SK,0,금,문학
29,20160408SSLT0,20160408,SS,LT,0,금,사직
30,20160408WOOB0,20160408,WO,OB,0,금,잠실
31,20160409HHNC0,20160409,HH,NC,0,토,마산
32,20160409HTKT0,20160409,HT,KT,0,토,수원
33,20160409LGSK0,20160409,LG,SK,0,토,문학
34,20160409SSLT0,20160409,SS,LT,0,토,사직
35,20160409WOOB0,20160409,WO,OB,0,토,잠실
36,20160410HHNC0,20160410,HH,NC,0,일,마산
37,20160410HTKT0,20160410,HT,KT,0,일,수원
38,20160410LGSK0,20160410,LG,SK,0,일,문학
39,20160410SSLT0,20160410,SS,LT,0,일,사직
40,20160410WOOB0,20160410,WO,OB,0,일,잠실
41,20160412HTSK0,20160412,HT,SK,0,화,문학
42,20160412KTWO0,20160412,KT,WO,0,화,고척
43,20160412LTLG0,20160412,LT,LG,0,화,잠실
44,20160412NCSS0,20160412,NC,SS,0,화,대구
45,20160412OBHH0,20160412,OB,HH,0,화,대전
46,20160413HTSK0,20160413,HT,SK,0,수,문학
47,20160413KTWO0,20160413,KT,WO,0,수,고척
48,20160413LTLG0,20160413,LT,LG,0,수,잠실
49,20160413NCSS0,20160413,NC,SS,0,수,대구
50,20160413OBHH0,20160413,OB,HH,0,수,대전
51,20160414HTSK0,20160414,HT,SK,0,목,문학
52,20160414KTWO0,20160414,KT,WO,0,목,고척
53,20160414LTLG0,20160414,LT,LG,0,목,잠실
54,20160414NCSS0,20160414,NC,SS,0,목,대구
55,20160414OBHH0,20160414,OB,HH,0,목,대전
56,20160415LGHH0,20160415,LG,HH,0,금,대전
57,20160415LTNC0,20160415,LT,NC,0,금,마산
58,20160415SKKT0,20160415,SK,KT,0,금,수원
59,20160415SSOB0,20160415,SS,OB,0,금,잠실
60,20160415WOHT0,20160415,WO,HT,0,금,광주
61,20160417LGHH0,20160417,LG,HH,0,일,대전
62,20160417LTNC0,20160417,LT,NC,0,일,마산
63,20160417SKKT0,20160417,SK,KT,0,일,수원
64,20160417SSOB0,20160417,SS,OB,0,일,잠실
65,20160417WOHT0,20160417,WO,HT,0,일,광주
66,20160419HHLT0,20160419,HH,LT,0,화,사직
67,20160419NCLG0,20160419,NC,LG,0,화,잠실
68,20160419OBKT0,20160419,OB,KT,0,화,수원
69,20160419SSHT0,20160419,SS,HT,0,화,광주
70,20160419WOSK0,20160419,WO,SK,0,화,문학
71,20160420HHLT0,20160420,HH,LT,0,수,사직
72,20160420NCLG0,20160420,NC,LG,0,수,잠실
73,20160420OBKT0,20160420,OB,KT,0,수,수원
74,20160420SSHT0,20160420,SS,HT,0,수,광주
75,20160420WOSK0,20160420,WO,SK,0,수,문학
76,20160421HHLT0,20160421,HH,LT,0,목,사직
77,20160421NCLG0,20160421,NC,LG,0,목,잠실
78,20160421OBKT0,20160421,OB,KT,0,목,수원
79,20160421SSHT0,20160421,SS,HT,0,목,광주
80,20160421WOSK0,20160421,WO,SK,0,목,문학
81,20160422HHOB0,20160422,HH,OB,0,금,잠실
82,20160422HTLT0,20160422,HT,LT,0,금,사직
83,20160422KTSS0,20160422,KT,SS,0,금,대구
84,20160422LGWO0,20160422,LG,WO,0,금,고척
85,20160422NCSK0,20160422,NC,SK,0,금,문학
86,20160423HHOB0,20160423,HH,OB,0,토,잠실
87,20160423HTLT0,20160423,HT,LT,0,토,사직
88,20160423KTSS0,20160423,KT,SS,0,토,대구
89,20160423LGWO0,20160423,LG,WO,0,토,고척
90,20160423NCSK0,20160423,NC,SK,0,토,문학
91,20160424HHOB0,20160424,HH,OB,0,일,잠실
92,20160424HTLT0,20160424,HT,LT,0,일,사직
93,20160424KTSS0,20160424,KT,SS,0,일,대구
94,20160424LGWO0,20160424,LG,WO,0,일,고척
95,20160424NCSK0,20160424,NC,SK,0,일,문학
96,20160426HTHH0,20160426,HT,HH,0,화,대전
97,20160426LGSS0,20160426,LG,SS,0,화,대구
98,20160426LTKT0,20160426,LT,KT,0,화,수원
99,20160426SKOB0,20160426,SK,OB,0,화,잠실
100,20160426WONC0,20160426,WO,NC,0,화,마산
101,20160427LTKT0,20160427,LT,KT,0,수,수원
102,20160427SKOB0,20160427,SK,OB,0,수,잠실
103,20160428HTHH0,20160428,HT,HH,0,목,대전
104,20160428LGSS0,20160428,LG,SS,0,목,대구
105,20160428LTKT0,20160428,LT,KT,0,목,수원
106,20160428SKOB0,20160428,SK,OB,0,목,잠실
107,20160428WONC0,20160428,WO,NC,0,목,마산
108,20160429KTLG0,20160429,KT,LG,0,금,잠실
109,20160429NCLT0,20160429,NC,LT,0,금,사직
110,20160429OBHT0,20160429,OB,HT,0,금,광주
111,20160429SKWO0,20160429,SK,WO,0,금,고척
112,20160429SSHH0,20160429,SS,HH,0,금,대전
113,20160430KTLG0,20160430,KT,LG,0,토,잠실
114,20160430NCLT0,20160430,NC,LT,0,토,사직
115,20160430OBHT0,20160430,OB,HT,0,토,광주
116,20160430SKWO0,20160430,SK,WO,0,토,고척
117,20160430SSHH0,20160430,SS,HH,0,토,대전
118,20160501KTLG0,20160501,KT,LG,0,일,잠실
119,20160501NCLT0,20160501,NC,LT,0,일,사직
120,20160501OBHT0,20160501,OB,HT,0,일,광주
121,20160501SKWO0,20160501,SK,WO,0,일,고척
122,20160501SSHH0,20160501,SS,HH,0,일,대전
123,20160503HHSK0,20160503,HH,SK,0,화,문학
124,20160503LTHT0,20160503,LT,HT,0,화,광주
125,20160503WOSS0,20160503,WO,SS,0,화,대구
126,20160504HHSK0,20160504,HH,SK,0,수,문학
127,20160504LTHT0,20160504,LT,HT,0,수,광주
128,20160504NCKT0,20160504,NC,KT,0,수,수원
129,20160504OBLG0,20160504,OB,LG,0,수,잠실
130,20160504WOSS0,20160504,WO,SS,0,수,대구
131,20160505HHSK0,20160505,HH,SK,0,목,문학
132,20160505LTHT0,20160505,LT,HT,0,목,광주
133,20160505NCKT0,20160505,NC,KT,0,목,수원
134,20160505OBLG0,20160505,OB,LG,0,목,잠실
135,20160505WOSS0,20160505,WO,SS,0,목,대구
136,20160506HHKT0,20160506,HH,KT,0,금,수원
137,20160506HTWO0,20160506,HT,WO,0,금,고척
138,20160506LGNC0,20160506,LG,NC,0,금,마산
139,20160506LTOB0,20160506,LT,OB,0,금,잠실
140,20160506SKSS0,20160506,SK,SS,0,금,대구
141,20160507HHKT0,20160507,HH,KT,0,토,수원
142,20160507HTWO0,20160507,HT,WO,0,토,고척
143,20160507LGNC0,20160507,LG,NC,0,토,마산
144,20160507LTOB0,20160507,LT,OB,0,토,잠실
145,20160507SKSS0,20160507,SK,SS,0,토,대구
146,20160508HHKT0,20160508,HH,KT,0,일,수원
147,20160508HTWO0,20160508,HT,WO,0,일,고척
148,20160508LGNC0,20160508,LG,NC,0,일,마산
149,20160508LTOB0,20160508,LT,OB,0,일,잠실
150,20160508SKSS0,20160508,SK,SS,0,일,대구
