,GYEAR,PCODE,NAME,T_ID,POSITION,AGE_VA,MONEY
0,2016,60100,백창수,LG,내,28,4000만원
1,2016,60105,배민관,LG,투,25,2700만원
2,2016,60146,이승현,LG,투,25,3700만원
3,2016,60164,유경국,LG,투,25,2700만원
4,2016,60181,김지용,LG,투,28,4000만원
5,2016,60255,장민익,OB,투,25,2800만원
6,2016,60263,이재학,NC,투,26,20000만원
7,2016,60264,정대현,KT,투,25,6300만원
8,2016,60304,이창섭,NC,내,29,3000만원
9,2016,60337,김대유,SK,투,25,2700만원
10,2016,60339,김정훈,WO,투,25,3400만원
11,2016,60342,정회찬,WO,투,29,2700만원
12,2016,60343,이해창,KT,포,29,2900만원
13,2016,60404,송주호,HH,외,28,4000만원
14,2016,60441,임진우,OB,투,29,3700만원
15,2016,60454,정민우,SS,포,25,2900만원
16,2016,60456,백상원,SS,내,28,4500만원
17,2016,60457,김현우,SS,투,28,4500만원
18,2016,60464,문선엽,SS,외,25,2800만원
19,2016,60496,김선민,KT,내,26,3200만원
20,2016,60523,정훈,LT,내,29,21000만원
21,2016,60558,오승택,LT,내,25,7000만원
22,2016,60559,박시영,LT,투,27,2700만원
23,2016,60566,이상호,NC,내,27,4800만원
24,2016,60605,홍재호,HT,내,29,3400만원
25,2016,60634,임기준,HT,투,25,3300만원
26,2016,60636,심동섭,HT,투,25,14000만원
27,2016,60648,이인행,HT,내,25,3000만원
28,2016,60658,최병연,HT,내,30,3000만원
29,2016,60667,이종환,HH,외,30,6200만원
30,2016,60713,안승민,HH,투,25,7000만원
31,2016,60724,이상훈,SS,외,29,3500만원
32,2016,60757,김경태,HH,투,25,3000만원
33,2016,60764,김용주,HH,투,25,3000만원
34,2016,60768,이태양,HH,투,26,6500만원
35,2016,60805,최윤석,HH,내,29,5700만원
36,2016,60841,박종훈,SK,투,25,7000만원
37,2016,60845,문광은,SK,투,29,6000만원
38,2016,60848,최원재,KT,투,29,4600만원
39,2016,60864,이상백,SK,투,29,3200만원
40,2016,60865,안정광,KT,내,27,2900만원
41,2016,60949,이창호,LG,투,29,2700만원
42,2016,61101,임찬규,LG,투,24,4800만원
43,2016,61102,유강남,LG,포,24,8100만원
44,2016,61108,강병의,LG,내,24,3000만원
45,2016,61114,김재율,LG,내,27,2900만원
46,2016,61145,이영재,LG,투,24,2700만원
47,2016,61186,이천웅,LG,외,28,2800만원
48,2016,61194,이민재,LG,외,28,3400만원
49,2016,61197,최영진,OB,내,28,3000만원
50,2016,61204,김동한,LT,내,28,3200만원
51,2016,61208,정진호,OB,외,28,5200만원
52,2016,61214,이현호,OB,투,24,6800만원
53,2016,61215,안규영,OB,투,28,3000만원
54,2016,61240,니퍼트,OB,투,35,1200000달러
55,2016,61295,강동연,OB,투,24,2800만원
56,2016,61323,이태양,NC,투,23,10000만원
57,2016,61329,윤지웅,LG,투,28,12500만원
58,2016,61353,고종욱,WO,외,27,7700만원
59,2016,61365,김대우,SS,투,28,11000만원
60,2016,61366,홍성갑,WO,외,24,3200만원
61,2016,61396,박정준,WO,투,24,2700만원
62,2016,61411,심창민,SS,투,23,14000만원
63,2016,61457,임현준,SS,투,28,3300만원
64,2016,61463,김정혁,SS,내,31,3300만원
65,2016,61492,정우양,SS,포,28,2700만원
66,2016,61527,김명성,OB,투,28,3200만원
67,2016,61554,김민하,LT,외,27,4000만원
68,2016,61557,이정담,SK,투,25,2700만원
69,2016,61569,이경우,LT,투,29,2800만원
70,2016,61591,김사훈,LT,포,29,2900만원
71,2016,61643,홍건희,HT,투,24,4500만원
72,2016,61652,윤정우,HT,외,28,2900만원
73,2016,61665,우병걸,SS,투,26,2700만원
74,2016,61666,한승혁,HT,투,23,7000만원
75,2016,61700,강경학,HH,내,24,6500만원
76,2016,61715,유창식,HT,투,24,6000만원
77,2016,61742,나성용,SS,외,28,3700만원
78,2016,61743,오준혁,HT,외,24,3300만원
79,2016,61767,문재현,HH,투,24,2700만원
80,2016,61891,임정우,LG,투,25,12500만원
81,2016,61893,박계현,SK,내,24,6000만원
82,2016,61895,서진용,SK,투,24,3000만원
83,2016,61929,채선관,KT,투,28,3000만원
84,2016,62007,김지성,LG,내,31,3800만원
85,2016,62016,윤병호,NC,외,27,2900만원
86,2016,62056,정영일,SK,투,28,2700만원
87,2016,62146,최성훈,LG,투,27,3500만원
88,2016,62147,조윤준,LG,포,27,3000만원
89,2016,62164,서상우,LG,내,27,6000만원
90,2016,62234,류지혁,OB,내,22,3000만원
91,2016,62242,윤명준,OB,투,27,11500만원
92,2016,62244,박세혁,OB,포,26,3000만원
