,G_ID,GDAY_DS,T_ID,VS_T_ID,HEADER_NO,TB_SC,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN
0,20160401HHLG0,20160401,LG,HH,0,B,47,42,4,5,9,2,0,1,2,1,1,0,4,0,0,11,0,0,8,0.333333333,12,4
1,20160401HHLG0,20160401,HH,LG,0,T,52,46,4,4,13,2,0,0,0,0,3,0,3,0,0,10,1,2,12,0.2,15,3
2,20160401HTNC0,20160401,NC,HT,0,B,36,30,5,5,9,2,0,2,0,0,1,0,5,0,0,9,1,1,7,0.14285714300000002,7,1
3,20160401HTNC0,20160401,HT,NC,0,T,38,34,3,4,8,3,0,1,0,0,0,0,3,0,1,10,1,0,7,0.1,10,1
4,20160401KTSK0,20160401,SK,KT,0,B,36,36,4,4,10,5,0,1,0,0,0,0,0,0,0,7,1,1,5,0.375,8,3
5,20160401KTSK0,20160401,KT,SK,0,T,42,36,7,8,11,0,0,2,2,1,0,1,4,0,1,7,0,0,7,0.28571428600000004,7,2
6,20160401LTWO0,20160401,WO,LT,0,B,36,30,1,1,6,1,0,0,0,2,0,1,5,0,0,6,0,1,8,0.0,5,0
7,20160401LTWO0,20160401,LT,WO,0,T,39,37,1,2,11,2,0,0,1,0,0,0,2,0,0,6,2,0,10,0.071428571,14,1
8,20160401OBSS0,20160401,SS,OB,0,B,35,32,1,1,8,0,0,0,1,1,0,0,2,0,1,6,2,1,7,0.25,4,1
9,20160401OBSS0,20160401,OB,SS,0,T,37,31,4,5,8,0,0,2,2,1,1,1,3,0,1,3,1,0,5,0.14285714300000002,7,1
10,20160402HHLG0,20160402,LG,HH,0,B,49,40,8,8,12,2,1,1,1,2,0,0,8,0,1,9,0,1,11,0.3,10,3
11,20160402HHLG0,20160402,HH,LG,0,T,50,43,7,7,13,4,0,0,0,1,2,0,3,1,2,9,0,1,10,0.333333333,15,5
12,20160402HTNC0,20160402,NC,HT,0,B,36,33,3,3,7,1,0,1,1,0,0,0,2,0,1,5,1,0,6,0.0,4,0
13,20160402HTNC0,20160402,HT,NC,0,T,39,33,4,4,8,2,0,1,1,1,1,0,5,0,0,8,0,0,8,0.428571429,7,3
14,20160402KTSK0,20160402,SK,KT,0,B,44,37,4,4,10,2,0,1,2,0,0,0,6,2,1,6,1,1,12,0.111111111,9,1
