,G_ID,GDAY_DS,T_ID,VS_T_ID,HEADER_NO,TB_SC,CG_CK,WLS,HOLD,INN2,BF,PA,AB,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,WP,BK,ERR,R,ER,P_WHIP_RT,P2_WHIP_RT,CB_WHIP_RT
0,20160401HHLG0,20160401,LG,HH,0,B,0,W,0,36,184,52,46,13,2,0,0,0,0,3,0,3,0,0,10,1,0,0,0,4,4,0.642857143,1.285714286,2.4
1,20160401HHLG0,20160401,HH,LG,0,T,0,L,0,34,196,47,42,9,2,0,1,2,1,1,0,4,0,0,11,0,1,0,0,5,4,1.5,1.0,0.75
2,20160401HTNC0,20160401,NC,HT,0,B,0,W,0,27,143,38,34,8,3,0,1,0,0,0,0,3,0,1,10,1,2,0,0,4,4,1.333333333,1.038461538,2.142857143
3,20160401HTNC0,20160401,HT,NC,0,T,0,L,0,24,147,36,30,9,2,0,2,0,0,1,0,5,0,0,9,1,0,0,0,5,5,0.5,1.6956521740000001,1.875
4,20160401KTSK0,20160401,SK,KT,0,B,0,L,0,27,151,42,36,11,0,0,2,2,1,0,1,4,0,1,7,0,0,0,0,8,8,1.0,2.357142857,2.25
5,20160401KTSK0,20160401,KT,SK,0,T,0,W,0,27,147,36,36,10,5,0,1,0,0,0,0,0,0,0,7,1,0,0,0,4,4,1.8,1.75,0.272727273
6,20160401LTWO0,20160401,WO,LT,0,B,0,L,0,27,145,39,37,11,2,0,0,1,0,0,0,2,0,0,6,2,0,0,0,2,1,0.25,1.4444444440000002,0.818181818
7,20160401LTWO0,20160401,LT,WO,0,T,0,W,4,27,138,36,30,6,1,0,0,0,2,0,1,5,0,0,6,0,0,0,1,1,0,0.0,1.222222222,1.0
8,20160401OBSS0,20160401,SS,OB,0,B,0,L,0,27,147,37,31,8,0,0,2,2,1,1,1,3,0,1,3,1,0,0,1,5,4,0.375,2.5714285709999998,3.0
9,20160401OBSS0,20160401,OB,SS,0,T,0,W,1,27,146,35,32,8,0,0,0,1,1,0,0,2,0,1,6,2,1,0,0,1,1,1.0,2.0,1.6666666669999999
10,20160402HHLG0,20160402,LG,HH,0,B,0,W,2,33,176,50,43,13,4,0,0,0,1,2,0,3,1,2,9,0,0,0,0,7,7,1.9090909090000001,1.2727272729999999,1.5
11,20160402HHLG0,20160402,HH,LG,0,T,0,L,0,30,222,49,40,12,2,1,1,1,2,0,0,8,0,1,9,0,2,0,1,8,8,4.0,2.111111111,3.0
12,20160402HTNC0,20160402,NC,HT,0,B,0,L,0,27,152,39,33,8,2,0,1,1,1,1,0,5,0,0,8,0,0,0,0,4,4,3.6,1.5,2.5714285709999998
13,20160402HTNC0,20160402,HT,NC,0,T,0,W,0,27,146,36,33,7,1,0,1,1,0,0,0,2,0,1,5,1,0,0,0,3,3,0.75,0.6,1.5
14,20160402KTSK0,20160402,SK,KT,0,B,0,W,0,30,162,41,34,8,0,0,0,0,2,1,0,6,0,0,3,2,1,0,1,3,2,1.875,1.4,0.428571429
15,20160402KTSK0,20160402,KT,SK,0,T,0,L,0,28,173,44,37,10,2,0,1,2,0,0,0,6,2,1,6,1,1,0,0,4,4,1.875,1.714285714,2.0
16,20160402LTWO0,20160402,WO,LT,0,B,0,W,3,27,167,39,34,8,3,0,0,2,1,0,0,5,0,0,9,0,0,0,0,3,3,1.2,1.263157895,0.545454545
17,20160402LTWO0,20160402,LT,WO,0,T,0,L,0,24,127,35,30,9,0,0,0,1,1,0,0,4,0,1,6,1,0,0,0,5,4,2.5,1.764705882,1.6666666669999999
18,20160402OBSS0,20160402,SS,OB,0,B,0,W,0,27,160,42,38,12,6,0,1,1,0,0,0,4,0,0,6,1,0,1,0,6,6,0.692307692,1.75,5.0
19,20160402OBSS0,20160402,OB,SS,0,T,0,L,0,24,135,41,36,16,3,1,2,1,1,2,0,2,0,1,7,1,0,0,1,10,10,1.875,2.1818181819999998,2.1
20,20160403KTSK0,20160403,SK,KT,0,B,0,L,0,27,167,40,33,7,2,0,1,0,1,0,0,6,0,1,9,0,0,0,1,5,5,1.714285714,1.565217391,1.6666666669999999
21,20160403KTSK0,20160403,KT,SK,0,T,0,W,2,27,158,38,32,8,2,0,0,1,1,0,1,3,0,2,4,0,0,0,0,4,4,1.0,0.954545455,2.142857143
22,20160403LTWO0,20160403,WO,LT,0,B,0,W,0,27,152,43,38,12,1,1,0,0,0,0,1,4,0,0,5,1,0,0,0,5,4,1.875,1.5,0.818181818
23,20160403LTWO0,20160403,LT,WO,0,T,0,L,0,25,178,42,34,11,2,0,0,3,0,1,0,7,1,0,7,0,1,0,0,6,6,2.666666667,3.333333333,1.8
24,20160405LGHT0,20160405,HT,LG,0,B,0,W,2,27,137,35,34,7,0,0,0,1,0,0,0,1,0,0,9,0,0,0,0,1,1,0.75,1.0,0.6
25,20160405LGHT0,20160405,LG,HT,0,T,0,L,0,24,123,31,28,6,1,0,1,0,0,0,0,3,0,0,10,2,1,0,0,4,2,2.0,1.588235294,0.6
26,20160405NCOB0,20160405,OB,NC,0,B,0,W,0,27,146,37,31,5,0,0,0,0,0,0,0,5,0,1,9,1,0,0,0,2,2,1.8,1.0,1.5
27,20160405NCOB0,20160405,NC,OB,0,T,0,L,0,24,156,39,28,6,1,1,0,2,1,0,0,7,0,4,5,0,0,0,0,6,6,2.5,3.0,1.875
28,20160405SKLT0,20160405,LT,SK,0,B,0,W,3,27,152,35,30,4,2,0,0,1,0,0,1,2,0,2,12,0,0,0,1,1,1,0.75,0.666666667,0.666666667
29,20160405SKLT0,20160405,SK,LT,0,T,0,L,0,24,111,34,30,5,0,0,0,0,0,0,0,3,0,1,7,0,1,0,1,2,2,0.375,1.0,1.333333333
30,20160405SSKT0,20160405,KT,SS,0,B,0,W,0,27,181,45,38,10,2,0,0,0,0,0,0,6,0,1,6,1,1,0,0,3,2,1.5,0.75,0.46153846200000004
31,20160405SSKT0,20160405,SS,KT,0,T,0,L,0,24,159,42,32,11,4,0,1,2,0,0,2,8,0,0,6,1,1,0,0,8,8,1.846153846,4.714285714,2.0
32,20160405WOHH0,20160405,HH,WO,0,B,0,W,0,27,180,40,32,7,0,0,1,2,2,0,0,7,0,1,11,1,3,0,1,5,3,2.4,2.166666667,1.2
